1.19987	2907.29
1.19996	3179.63
1.20006	2127.31
1.20015	1847.87
1.20024	1769.28
1.20033	1789.37
1.20042	1748.23
1.20051	1819.33
1.2006	1717
1.20069	1754.08
1.20078	1757.16
1.20088	1685.48
1.20097	1695.36
1.20106	1708.64
1.20115	1698.15
1.20124	1633.32
1.20133	1666.97
1.20142	1731.16
1.20151	1785.15
1.20161	1754.29
1.2017	1730.22
1.20179	1767.22
1.20188	1749.94
1.20197	1766.57
1.20206	1749.3
1.20215	1816.78
1.20225	1755.44
1.20234	1775.46
1.20243	1802.23
1.20252	1778.2
1.20261	1737.24
1.2027	1699.68
1.2028	1743.37
1.20289	1732.9
1.20298	1688.6
1.20307	1728.89
1.20316	1823.29
1.20325	1782.38
1.20335	1761.76
1.20344	1761.44
1.20353	1734.08
1.20362	1713.49
1.20371	1692.9
1.2038	1753.4
1.2039	1766.59
1.20399	1776.4
1.20408	1779.46
1.20417	1721.74
1.20426	1822.69
1.20435	1717.74
1.20445	1730.92
1.20454	1713.74
1.20463	1743.79
1.20472	1726.61
1.20481	1780.24
1.20491	1729.35
1.205	1836.89
1.20509	1806.23
1.20518	1745.25
1.20527	1768.51
1.20537	1768.19
1.20546	1808.28
1.20555	1841.62
1.20564	1763.86
1.20573	1686.13
1.20583	1773.31
1.20592	1722.52
1.20601	1702.03
1.2061	1802.61
1.2062	1738.39
1.20629	1754.89
1.20638	1724.31
1.20647	1794.57
1.20656	1764.01
1.20666	1726.73
1.20675	1770.08
1.20684	1702.59
1.20693	1715.71
1.20703	1772.47
1.20712	1758.72
1.20721	1751.69
1.2073	1734.59
1.20739	1747.69
1.20749	1733.96
1.20758	1787.3
1.20767	1820.5
1.20776	1746.42
1.20786	1715.94
1.20795	1742.43
1.20804	1738.76
1.20813	1708.3
1.20823	1761.57
1.20832	1737.81
1.20841	1784.36
1.20851	1690.32
1.2086	1770.33
1.20869	1763.31
1.20878	1729.54
1.20888	1816.18
1.20897	1732.25
1.20906	1721.9
1.20915	1771.73
1.20925	1634.37
1.20934	1714.27
1.20943	1720.64
1.20952	1743.71
1.20962	1773.45
1.20971	1759.77
1.2098	1769.47
1.2099	1762.47
1.20999	1685.38
1.21008	1735.13
1.21017	1688.11
1.21027	1701.14
1.21036	1757.52
1.21045	1727.19
1.21055	1760.21
1.21064	1763.23
1.21073	1722.91
1.21083	1745.92
1.21092	1728.95
1.21101	1741.95
1.2111	1661.71
1.2112	1737.99
1.21129	1741
1.21138	1724.04
1.21148	1727.05
1.21157	1766.66
1.21166	1693.15
1.21176	1719.45
1.21185	1818.89
1.21194	1781.99
1.21204	1738.45
1.21213	1751.43
1.21222	1694.62
1.21232	1747.46
1.21241	1777.04
1.2125	1763.43
1.2126	1693.38
1.21269	1819.22
1.21278	1752.5
1.21288	1738.91
1.21297	1708.73
1.21306	1744.91
1.21316	1784.39
1.21325	1727.69
1.21334	1753.89
1.21344	1650.81
1.21353	1736.68
1.21362	1812.58
1.21372	1818.87
1.21381	1758.91
1.21391	1785.09
1.214	1695.36
1.21409	1714.91
1.21419	1734.46
1.21428	1734.14
1.21437	1760.29
1.21447	1687.19
1.21456	1716.65
1.21465	1716.33
1.21475	1729.24
1.21484	1705.79
1.21494	1725.3
1.21503	1741.51
1.21512	1668.5
1.21522	1780.51
1.21531	1819.82
1.2154	1760.05
1.2155	1730.01
1.21559	1785.81
1.21569	1795.38
1.21578	1778.55
1.21587	1735.34
1.21597	1738.32
1.21606	1708.32
1.21616	1770.66
1.21625	1737.36
1.21634	1746.93
1.21644	1756.5
1.21653	1749.59
1.21663	1745.97
1.21672	1739.06
1.21682	1715.69
1.21691	1777.94
1.217	1790.78
1.2171	1698.29
1.21719	1753.92
1.21729	1733.86
1.21738	1805.91
1.21747	1749.67
1.21757	1834.84
1.21766	1768.75
1.21776	1738.84
1.21785	1722.09
1.21795	1748.06
1.21804	1724.74
1.21813	1724.43
1.21823	1707.69
1.21832	1796.03
1.21842	1707.06
1.21851	1700.19
1.21861	1729.41
1.2187	1699.56
1.2188	1800.94
1.21889	1735.01
1.21898	1695.35
1.21908	1809.78
1.21917	1799.62
1.21927	1743.57
1.21936	1713.76
1.21946	1746.21
1.21955	1696.75
1.21965	1716.09
1.21974	1748.52
1.21984	1728.55
1.21993	1744.6
1.22003	1721.37
1.22012	1763.59
1.22022	1753.45
1.22031	1736.78
1.2204	1697.22
1.2205	1765.57
1.22059	1761.97
1.22069	1787.79
1.22078	1712.31
1.22088	1757.73
1.22097	1679.01
1.22107	1681.97
1.22116	1773.09
1.22126	1772.76
1.22135	1769.17
1.22145	1834.12
1.22154	1833.78
1.22164	1813.87
1.22173	1725.47
1.22183	1741.46
1.22192	1780.26
1.22202	1753.85
1.22211	1740.49
1.22221	1710.84
1.2223	1717.05
1.2224	1710.21
1.22249	1722.93
1.22259	1843.09
1.22268	1735.32
1.22278	1754.53
1.22288	1790
1.22297	1757.13
1.22307	1675.48
1.22316	1730.46
1.22326	1798.44
1.22335	1768.85
1.22345	1771.77
1.22354	1751.94
1.22364	1676.88
1.22373	1741.55
1.22383	1711.99
1.22392	1783.13
1.22402	1704.87
1.22411	1801.95
1.22421	1775.65
1.22431	1736.38
1.2244	1791.22
1.2245	1784.4
1.22459	1829.49
1.22469	1764.29
1.22478	1741.26
1.22488	1747.43
1.22497	1730.9
1.22507	1707.89
1.22517	1723.78
1.22526	1733.18
1.22536	1784.68
1.22545	1700.15
1.22555	1803.45
1.22564	1754.56
1.22574	1770.42
1.22584	1802.45
1.22593	1802.12
1.22603	1795.32
1.22612	1775.58
1.22622	1775.25
1.22632	1774.93
1.22641	1781.06
1.22651	1771.04
1.2266	1686.7
1.2267	1734.85
1.2268	1679.62
1.22689	1743.89
1.22699	1743.57
1.22708	1772.3
1.22718	1771.98
1.22728	1765.2
1.22737	1742.28
1.22747	1687.12
1.22756	1780.34
1.22766	1718.75
1.22776	1763.57
1.22785	1853.5
1.22795	1721.02
1.22804	1752.92
1.22814	1697.83
1.22824	1752.27
1.22833	1761.61
1.22843	1735.53
1.22853	1735.21
1.22862	1738.1
1.22872	1853.63
1.22881	1776.07
1.22891	1824
1.22901	1759.33
1.2291	1829.75
1.2292	1832.63
1.2293	1739.07
1.22939	1732.32
1.22949	1793.05
1.22959	1789.51
1.22968	1747.42
1.22978	1788.85
1.22988	1753.19
1.22997	1733.61
1.23007	1714.03
1.23017	1739.38
1.23026	1745.48
1.23036	1713.08
1.23045	1818.6
1.23055	1779.79
1.23065	1718.54
1.23074	1759.89
1.23084	1746.75
1.23094	1759.24
1.23104	1800.57
1.23113	1656.09
1.23123	1809.51
1.23133	1818.78
1.23142	1757.61
1.23152	1693.27
1.23162	1689.76
1.23171	1846.23
1.23181	1772.31
1.23191	1727.2
1.232	1710.89
1.2321	1793.7
1.2322	1755.01
1.23229	1709.94
1.23239	1741.58
1.23249	1750.84
1.23259	1760.1
1.23268	1766.16
1.23278	1721.13
1.23288	1775.08
1.23297	1777.95
1.23307	1812.72
1.23317	1786.86
1.23327	1690.82
1.23336	1725.59
1.23346	1744.41
1.23356	1788.72
1.23365	1727.82
1.23375	1768.94
1.23385	1711.25
1.23395	1854.3
1.23404	1716.98
1.23414	1729.4
1.23424	1767.29
1.23434	1792.44
1.23443	1795.29
1.23453	1794.95
1.23463	1794.62
1.23472	1778.38
1.23482	1778.05
1.23492	1723.66
1.23502	1748.77
1.23511	1754.81
1.23521	1751.3
1.23531	1703.31
1.23541	1769.72
1.2355	1731.27
1.2356	1756.36
1.2357	1749.68
1.2358	1720.78
1.2359	1780.77
1.23599	1748.7
1.23609	1767.42
1.23619	1798.81
1.23629	1782.62
1.23638	1753.75
1.23648	1810.49
1.23658	1794.31
1.23668	1724.24
1.23678	1749.28
1.23687	1742.61
1.23697	1780.3
1.23707	1814.81
1.23717	1687.81
1.23726	1760.31
1.23736	1823.3
1.23746	1838.78
1.23756	1778.32
1.23766	1838.1
1.23775	1821.94
1.23785	1846.9
1.23795	1777
1.23805	1836.73
1.23815	1766.85
1.23824	1779.16
1.23834	1835.71
1.23844	1816.41
1.23854	1743.43
1.23864	1787.31
1.23874	1869.07
1.23883	1802.43
1.23893	1783.16
1.23903	1729.19
1.23913	1776.19
1.23923	1779.01
1.23932	1822.83
1.23942	1784.65
1.23952	1800.08
1.23962	1790.29
1.23972	1808.87
1.23982	1805.38
1.23991	1735.74
1.24001	1782.66
1.24011	1798.07
1.24021	1766.26
1.24031	1753.34
1.24041	1749.86
1.24051	1724.36
1.2406	1808.98
1.2407	1802.36
1.2408	1786.3
1.2409	1776.53
1.241	1729.04
1.2411	1848.16
1.2412	1744.11
1.24129	1778.35
1.24139	1875.4
1.24149	1815.38
1.24159	1871.56
1.24169	1871.21
1.24179	1732.75
1.24189	1763.81
1.24199	1794.86
1.24208	1781.97
1.24218	1765.96
1.24228	1822.08
1.24238	1824.87
1.24248	1711.68
1.24258	1745.83
1.24268	1786.25
1.24278	1789.05
1.24288	1779.32
1.24297	1778.98
1.24307	1816.23
1.24317	1806.5
1.24327	1803.03
1.24337	1787.05
1.24347	1839.91
1.24357	1792.64
1.24367	1723.49
1.24377	1770.07
1.24387	1776
1.24396	1825.69
1.24406	1753.46
1.24416	1775
1.24426	1818.41
1.24436	1874.3
1.24446	1823.98
1.24456	1751.82
1.24466	1817.06
1.24476	1782.38
1.24486	1794.53
1.24496	1844.12
1.24506	1728.35
1.24516	1746.74
1.24526	1762
1.24535	1817.8
1.24545	1789.4
1.24555	1792.18
1.24565	1819.9
1.24575	1769.71
1.24585	1890.86
1.24595	1825.1
1.24605	1790.51
1.24615	1793.29
1.24625	1845.87
1.24635	1889.1
1.24645	1798.51
1.24655	1847.95
1.24665	1816.5
1.24675	1816.16
1.24685	1803.38
1.24695	1824.8
1.24705	1777.84
1.24715	1821.01
1.24725	1798.92
1.24735	1807.91
1.24745	1792.04
1.24755	1828.97
1.24765	1837.94
1.24775	1921.4
1.24785	1908.63
1.24795	1898.96
1.24805	1867.59
1.24815	1839.32
1.24825	1860.68
1.24835	1758.02
1.24845	1804.19
1.24855	1813.15
1.24865	1837.6
1.24875	1821.76
1.24885	1768.76
1.24895	1827.28
1.24905	1799.07
1.24915	1842.07
1.24925	1779.82
1.24935	1856.85
1.24945	1819.38
1.24955	1846.88
1.24965	1834.16
1.24975	1799.8
1.24985	1852.02
1.24995	1860.95
1.25005	1838.97
1.25015	1838.62
1.25025	1825.92
1.25035	1841.02
1.25045	1797.44
1.25055	1886.65
1.25065	1858.51
1.25075	1867.42
1.25085	1771.4
1.25095	1835.87
1.25105	1857.12
1.25115	1878.36
1.25125	1856.42
1.25135	1902.32
1.25145	1858.81
1.25155	1836.88
1.25166	1836.54
1.25176	1910.13
1.25186	1875.89
1.25196	1841.66
1.25206	1825.92
1.25216	1828.66
1.25226	1896.03
1.25236	1874.13
1.25246	1772.25
1.25256	1879.58
1.25266	1836.17
1.25276	1792.77
1.25286	1903.12
1.25296	1856.65
1.25307	1865.53
1.25317	1874.39
1.25327	1846.39
1.25337	1784.61
1.25347	1947.04
1.25357	1833.07
1.25367	1835.8
1.25377	1881.49
1.25387	1856.59
1.25397	1764.19
1.25408	1871.23
1.25418	1846.34
1.25428	1842.93
1.25438	1903.9
1.25448	1869.82
1.25458	1863.34
1.25468	1838.48
1.25478	1905.53
1.25488	1804.09
1.25499	1834.38
1.25509	1858.53
1.25519	1830.63
1.25529	1857.83
1.25539	1848.3
1.25549	1872.43
1.25559	1807.84
1.25569	1862.55
1.2558	1853.02
1.2559	1819.05
1.256	1901.23
1.2561	1870.31
1.2562	1918.85
1.2563	1930.71
1.2564	1884.53
1.25651	1850.58
1.25661	1902.14
1.25671	1843.78
1.25681	1834.28
1.25691	1891.91
1.25701	1873.25
1.25712	1814.94
1.25722	1848.15
1.25732	1884.39
1.25742	1850.5
1.25752	1892.82
1.25762	1871.14
1.25773	1864.69
1.25783	1873.48
1.25793	1973.63
1.25803	1942.81
1.25813	1924.18
1.25823	1872.07
1.25834	1862.58
1.25844	1920.05
1.25854	1849.71
1.25864	1916.28
1.25874	1934.17
1.25885	1857.79
1.25895	1851.36
1.25905	1869.25
1.25915	1917.51
1.25925	1914.12
1.25936	1834.77
1.25946	1904.28
1.25956	1967.69
1.25966	1936.96
1.25976	1918.38
1.25987	1960.51
1.25997	1929.8
1.26007	1920.33
1.26017	1965.47
1.26027	1868.05
1.26038	1952.6
1.26048	1931.01
1.26058	1876.09
1.26068	1927.25
1.26079	1890.53
1.26089	1896.23
1.26099	1911.02
1.26109	1901.57
1.2612	1910.29
1.2613	1955.34
1.2614	1900.49
1.2615	1999.98
1.26161	1978.43
1.26171	2011.33
1.26181	1935.35
1.26191	2025.68
1.26202	2019.26
1.26212	1949.36
1.26222	1939.93
1.26232	1954.67
1.26243	1924.09
1.26253	1884.47
1.26263	1926.39
1.26273	1941.12
1.26284	1919.62
1.26294	2033.93
1.26304	1937
1.26314	1963.78
1.26325	2032.78
1.26335	1969.07
1.26345	1977.74
1.26356	1920.1
1.26366	1986.04
1.26376	1946.49
1.26386	1934.07
1.26397	2002.98
1.26407	1945.39
1.26417	1942.01
1.26428	1908.53
1.26438	1983.41
1.26448	1910.81
1.26459	2003.72
1.26469	1934.15
1.26479	2011.98
1.26489	1978.53
1.265	1975.15
1.2651	1947.72
1.2652	1971.39
1.26531	1968.02
1.26541	1979.66
1.26551	1943.24
1.26562	1930.86
1.26572	1936.5
1.26582	1984.16
1.26593	1944.77
1.26603	2007.42
1.26613	2016.04
1.26624	1964.66
1.26634	1928.31
1.26644	2032.88
1.26655	2053.48
1.26665	1954.19
1.26675	2013.75
1.26686	2034.34
1.26696	1995.01
1.26706	1943.72
1.26717	1955.33
1.26727	1972.92
1.26737	2038.4
1.26748	1921.3
