-9.900000e+01 1.036251e-13 1.042053e-16 2.774403e-15 2.831959e-16 0.000000e+00 1.067869e-13
 -9.387396e+01 3.792658e-11 2.299046e-13 5.513215e-12 1.167249e-12 0.000000e+00 4.483695e-11
 -8.922085e+01 2.287221e-10 2.634282e-12 5.547720e-11 1.569628e-11 0.000000e+00 3.025298e-10
 -8.564453e+01 5.704433e-10 9.192404e-12 1.771026e-10 5.827272e-11 0.000000e+00 8.150110e-10
 -8.251865e+01 1.075860e-09 2.184840e-11 3.925383e-10 1.440489e-10 0.000000e+00 1.634295e-09
 -7.931368e+01 1.876693e-09 4.615238e-11 7.773002e-10 3.142256e-10 0.000000e+00 3.014372e-09
 -7.639929e+01 2.941360e-09 8.360995e-11 1.336456e-09 5.816633e-10 0.000000e+00 4.943089e-09
 -7.382543e+01 4.224011e-09 1.342295e-10 2.057959e-09 9.480276e-10 0.000000e+00 7.364227e-09
 -7.119674e+01 5.953817e-09 2.092009e-10 3.085162e-09 1.496204e-09 0.000000e+00 1.074438e-08
 -6.853189e+01 8.255097e-09 3.172754e-10 4.514399e-09 2.292512e-09 0.000000e+00 1.537928e-08
 -6.590233e+01 1.120091e-08 4.656934e-10 6.416953e-09 3.392521e-09 0.000000e+00 2.147608e-08
 -6.334443e+01 1.485713e-08 6.618105e-10 8.863155e-09 4.852777e-09 0.000000e+00 2.923487e-08
 -6.080612e+01 1.942186e-08 9.209670e-10 1.201723e-08 6.789685e-09 0.000000e+00 3.914973e-08
 -5.820058e+01 2.528198e-08 1.271656e-09 1.618873e-08 9.419036e-09 0.000000e+00 5.216140e-08
 -5.551208e+01 3.283473e-08 1.746829e-09 2.171930e-08 1.299145e-08 0.000000e+00 6.929231e-08
 -5.283471e+01 4.217323e-08 2.363498e-09 2.875080e-08 1.763863e-08 0.000000e+00 9.092616e-08
 -5.026449e+01 5.314167e-08 3.122659e-09 3.724279e-08 2.337163e-08 0.000000e+00 1.168788e-07
 -4.776988e+01 6.595913e-08 4.051059e-09 4.744166e-08 3.039611e-08 0.000000e+00 1.478480e-07
 -4.521721e+01 8.162429e-08 5.237323e-09 6.024335e-08 3.938773e-08 0.000000e+00 1.864927e-07
 -4.252111e+01 1.013937e-07 6.802738e-09 7.683273e-08 5.127325e-08 0.000000e+00 2.363024e-07
 -3.977151e+01 1.254551e-07 8.796822e-09 9.758011e-08 6.643741e-08 0.000000e+00 2.982695e-07
 -3.715126e+01 1.524975e-07 1.114325e-08 1.215605e-07 8.430717e-08 0.000000e+00 3.695084e-07
 -3.469482e+01 1.818617e-07 1.380860e-08 1.483392e-07 1.046334e-07 0.000000e+00 4.486429e-07
 -3.223242e+01 2.155504e-07 1.700553e-08 1.799219e-07 1.290451e-07 0.000000e+00 5.415229e-07
 -2.957081e+01 2.571972e-07 2.114332e-08 2.200796e-07 1.606810e-07 0.000000e+00 6.591011e-07
