raman shift,intensity
400.353,722.5968545875367
401.78,1272.9676797585053
403.206,68.17838754212426
404.632,1277.2264065378113
406.058,1206.1091653449039
407.483,1268.824092562798
408.908,396.3686167908236
410.333,854.7401666283477
411.757,757.9361706747586
413.181,1535.9540575294013
414.605,1569.7912557916425
416.028,638.445194060856
417.45,-923.086696488368
418.873,129.19318169519102
420.295,1240.282691108965
421.716,-617.820282112647
423.138,-1573.1178518352244
424.558,-287.61213192436117
425.979,1360.6947637543199
427.399,-980.1992786647534
428.818,-236.2963730471747
430.238,684.4013667414547
431.657,-544.1081731644517
433.075,-842.8271066305024
434.493,114.2424524777307
435.911,29.098390294631827
437.329,-364.2613310027373
438.746,508.1618164252577
440.162,485.3666153891754
441.578,1246.3518499334168
442.994,794.1163041023392
444.41,2.65876194035809
445.825,-504.0219925081183
447.24,975.0728248012747
448.654,473.94199791296705
450.068,-1398.4156891286839
451.482,-1756.0014522792553
452.895,291.1834925056246
454.308,-652.8620707296286
455.72,782.860646518624
457.132,223.35086811136716
458.544,-1546.3913875138896
459.955,-275.3660173585886
461.366,-467.5729184241354
462.777,-327.0119877119505
464.187,494.3168777765095
465.597,762.4137810398242
467.006,-726.7211749233902
468.415,-837.0878871146124
469.824,-951.686252535219
471.232,-186.5161681866739
472.64,885.4224689296025
474.048,628.1297618122044
475.455,926.6058625443693
476.862,1210.85135404615
478.268,487.8670426159224
479.675,348.65373644467036
481.08,-404.7877562766298
482.486,547.543372643042
483.891,121.6479313946329
485.295,104.52672816919221
486.699,-759.8194288423401
488.103,1132.6102685510778
489.507,799.8166285403931
490.91,1485.8004593166406
492.312,1423.562569070782
493.715,1226.1037671991435
495.117,869.4250588176656
496.518,400.5278594655538
497.919,-17.586363638329203
499.32,86.08385672485747
500.721,-461.4600122260017
502.121,-419.216503272095
503.52,-1172.184149194538
504.92,-692.3614827744968
506.319,401.25296320689813
507.717,4.660655968480569
509.116,-1367.1369372708796
510.513,-148.1383492923269
511.911,908.6578871229649
513.308,-620.7467121983864
514.705,220.64987573368853
516.101,-304.150024436698
517.497,145.85591592972196
518.893,-890.3299745278491
520.288,632.2946328298058
521.683,1265.7320666418818
523.077,1752.9846555476179
524.471,1295.0547281862382
525.865,1474.9446131969526
527.258,2580.656639218985
528.652,2207.1931348915386
530.044,2508.5564288538444
531.436,2637.7488497920203
532.828,2639.7727411045344
534.22,1669.6304817408673
535.611,889.3244559137311
537.002,2159.857047835867
538.392,2343.230641719958
539.782,1686.4476217787524
541.172,833.510372224926
542.561,752.4212772712272
543.95,1046.1827211303462
545.339,1602.7970880150242
546.727,1576.266762137966
548.115,937.5941277118836
549.502,49.781568949474604
550.889,1669.8314681955599
552.276,85.74618440766062
553.662,-481.47193937949487
555.048,690.1794395633333
556.434,557.7026639653413
557.819,319.1000765558056
559.204,1481.3740200639222
560.589,-710.473162781047
561.973,581.5608707501015
563.357,450.4784633866002
564.74,136.28195785768912
566.123,327.973696892579
567.506,1646.5560232205316
568.888,244.03127961527935
570.27,-291.59815608493955
571.652,-152.32980809757282
573.033,592.8388163288764
574.414,713.910209945956
575.794,-513.1131344947862
577.174,-188.22872424185334
578.554,-672.4340665436539
579.933,-641.726668648691
581.313,1067.8959621945542
582.691,186.436318737673
584.069,810.8968937321624
585.447,814.2801799295485
586.825,1447.588670081408
588.202,541.8248620540544
589.579,47.99133148520923
590.955,604.090714520622
592.331,-19.874351100028434
593.707,-38.901227637034026
595.083,716.012722649255
596.458,-30.12986250146787
597.832,983.6736546504762
599.207,1299.4259118447517
600.58,702.1295468210592
601.954,593.7871973190558
603.327,-24.598498921572173
604.7,-280.02490416114597
606.072,862.5106193346073
607.445,1869.0106905475477
608.816,1384.4778677226423
610.188,2581.9146968303976
611.559,1929.3237238412912
612.929,2795.707494725808
614.3,3274.068555454425
615.669,2604.4094519976425
617.039,3992.7327303259444
618.408,3443.040936409816
619.777,4287.336616219734
621.145,5665.622315726214
622.514,5713.90058089971
623.881,6561.173957710715
625.249,6812.4449835645355
626.616,5373.716035308877
627.982,6666.98934719697
629.349,6458.267148525338
630.715,7243.55166859048
632.08,7088.845136688928
633.445,7219.149782117209
634.81,8537.467834171817
636.175,8385.801522149282
637.539,8511.153075346134
638.903,10714.524723058887
640.266,10492.918694584034
641.629,11162.337219218127
642.992,11433.782526256902
644.354,12165.256747306914
645.716,12230.761646185943
647.078,12226.29890017298
648.439,12482.870186546948
649.8,12941.47718258678
651.16,12787.121565571426
652.52,12906.805012779856
653.88,11616.529201490972
655.24,11321.295808983756
656.599,10437.106512537139
657.958,11458.96298943006
659.316,11349.866916941472
660.674,10484.819972350298
662.032,9433.823822656006
663.389,8682.879892726356
664.746,8802.989362086264
666.102,8669.153399338793
667.459,8315.373173087028
668.814,7767.64985193406
670.17,5856.984604482976
671.525,5161.378599336873
672.88,5436.833005098808
674.234,5524.348990371887
675.588,4851.927723759196
676.942,4781.570373863797
678.296,5283.278109288767
679.649,5245.052098637243
681.001,5163.893464745561
682.354,4187.803129951222
683.705,4189.7819617018395
685.057,3040.8308274435913
686.408,3431.950594622722
687.759,3360.142130685417
689.11,4562.406303077914
690.46,4086.7439792463847
691.81,4626.15602663708
693.159,4264.6433126962
694.508,5500.206704869917
695.857,4681.847070604483
697.205,4767.565277346082
698.553,5684.362187849576
699.901,6437.238522588916
701.248,5885.1948375465
702.595,6578.231679541845
703.942,6853.349595394517
705.288,6634.549131923974
706.634,6963.830835949797
707.98,7568.195254291517
709.325,7769.642933768613
710.67,8039.174421200645
712.014,8501.790263407143
713.358,9478.491007207624
714.702,9676.277199421624
716.045,10005.149386868638
717.389,10019.108059952137
718.731,9216.153421240844
720.074,9559.285581744007
721.416,9566.504652432472
722.757,9140.810744277165
724.099,9107.203968248992
725.44,7549.684435318799
726.78,8069.252256457505
728.12,7673.907542636
729.46,7698.650404825174
730.8,6447.480953995895
732.139,5555.399301119098
733.478,5081.405557165635
734.816,5719.499829979919
736.154,6476.6821013952795
737.492,4556.952186919567
738.83,3361.3098906759333
740.167,2518.7550167876325
741.504,3167.2873693778165
742.84,3121.9067525696737
744.176,3409.6129704864215
745.512,2721.4058272512266
746.847,3185.2851269872554
748.182,2523.2506738177326
749.517,2239.3022718658613
750.851,1927.4397252547933
752.185,1663.6628381077244
753.518,1607.9714008436567
754.852,562.3651222796107
756.184,1929.8436811519423
757.517,757.4067561497213
758.849,1080.0540259619374
760.181,1364.7851692776167
761.513,2084.5998647857705
762.844,932.4977911754468
764.174,1376.4786271356497
765.505,1772.54205135542
766.835,275.6877425237544
768.165,1019.9153793296864
769.494,1223.2246404622565
770.823,1236.6152037283828
772.152,1735.0866976637335
773.48,1361.6386764635827
774.808,1751.2706881599588
776.136,3129.9822807848177
777.463,2853.7730023701224
778.79,3110.642400947858
780.117,4338.590024550009
781.443,4346.615421208546
782.769,5732.718138955446
784.094,6274.897725822673
785.42,6407.153729842226
786.744,6198.485699046054
788.069,5917.8931814661555
789.393,6334.375702288526
790.717,6132.932627372858
792.04,6034.563254730398
793.364,6330.266882121665
794.686,6896.042807307196
796.009,4959.890328047521
797.331,5355.808742103181
798.653,5254.797347234686
799.974,4082.855441202584
