# Data saved by LaserCtrl
# Date: 2023-03-24 12:45:49
# Epochtime: 1679676349.5232272
# Begin config
# DAQ:
#   ai: Dev1/ai3
#   ai_ref: Dev1/ai3
#   dev: Dev1
#   timeout: 5.0
#   trig: /Dev1/PFI1
# GUI:
#   Defaults:
#     center: 1550
#     finestart: -100.0
#     finestep: 1.0
#     finestop: 100.0
#     samples_centerspan: 2000
#     samples_startstop: 100000
#     span: 1
#     speed_centerspan: 20
#     speed_startstop: 40.0
#     start: 1480
#     step_delay: 0.1
#     stop: 1550
#   overwrite_config: false
#   refresh: 0.3
# Laser:
#   kind: SantecTSL
#   rsc_name: GPIB2::9::INSTR
# LaserSettings:
#   attenuation: 0
#   fine: 0.0
#   wavelength: 1551.0
# Monitor:
#   scroll_time: 10
#   tstep: 0.05
# Save:
#   compress: false
#   dir: ..\..\..\data\CEO22_COH_v2\20230324_final_checks
#   fname: voltage_sweep_BD_1530nm_47.0V_0dBatt_med
#   loop_save: false
# Scan:
#   Finescan:
#     finestart: -99.0
#     finestep: 1.0
#     finestop: 99.0
#     step_delay: 0.1
#   Wavscan:
#     samples: 40000
#     speed: 40
#     wavstart: 1529
#     wavstop: 1531
#   epoch_time: 0.0
#   loop_delay: 0.3
#   twoway: false
#   type: wavscan
# End config
# Begin data
# Columns: wavelength PD voltage
# Units: nm V
1.529007000e+03 3.932969139e-01
1.529007050e+03 3.918475174e-01
1.529007100e+03 3.921696056e-01
1.529007150e+03 3.928137818e-01
1.529007200e+03 3.924916937e-01
1.529007250e+03 3.913643853e-01
1.529007300e+03 3.923306496e-01
1.529007350e+03 3.899149888e-01
1.529007400e+03 3.908812531e-01
1.529007450e+03 3.907202091e-01
1.529007500e+03 3.913643853e-01
1.529007550e+03 3.905591650e-01
1.529007600e+03 3.903981210e-01
1.529007650e+03 3.894318567e-01
1.529007700e+03 3.892708126e-01
1.529007750e+03 3.884655924e-01
1.529007800e+03 3.895929007e-01
1.529007850e+03 3.873382840e-01
1.529007900e+03 3.897539448e-01
1.529007950e+03 3.881435043e-01
1.529008000e+03 3.884655924e-01
1.529008050e+03 3.874993281e-01
1.529008100e+03 3.876603721e-01
1.529008150e+03 3.873382840e-01
1.529008200e+03 3.862109756e-01
1.529008250e+03 3.871772400e-01
1.529008300e+03 3.860499316e-01
1.529008350e+03 3.870161959e-01
1.529008400e+03 3.858888875e-01
1.529008450e+03 3.858888875e-01
1.529008500e+03 3.846005351e-01
1.529008550e+03 3.852447113e-01
1.529008600e+03 3.842784470e-01
1.529008650e+03 3.847615792e-01
1.529008700e+03 3.842784470e-01
1.529008750e+03 3.829900946e-01
1.529008800e+03 3.844394911e-01
