x y correlation
19 1 0.00591033704241251
18 1 0.00441595441595441
17 1 -0.00724941724941726
16 1 -0.00041208791208792
15 1 0.00621532463637726
14 1 -0.0050913645741232
13 1 0.000521512385919158
12 1 0.00228632478632478
11 1 -0.00173041894353371
10 1 0.00252274607113316
9 1 -0.00113960113960115
8 1 -0.00758891645988421
7 1 0.00834384195039932
6 1 0.00514245014245014
5 1 -0.0119730551933942
4 1 -0.00243147656940761
3 1 0.0124606387764282
2 1 -0.00575396825396826
1 1 -0.00288267288267289
0 1 0.00113168724279835
-1 1 -0.00224157393968715
19 2 -0.00722635156597422
18 2 -0.00423213617658063
17 2 0.0142791551882461
16 2 -0.00409601972101973
15 2 -0.00733947663772226
14 2 0.00780796470451642
13 2 -0.000135536152485313
12 2 -0.0047067901234568
11 2 0.00219407186620301
10 2 0.00141875746714456
9 2 -0.00185051573940464
8 2 0.000454816987075044
7 2 -0.0038982723408953
6 2 -0.00163439955106623
5 2 0.0108928265707927
4 2 -0.00524642981539534
3 2 -0.0076126764723256
2 2 0.0121151996151996
1 2 0.00215794306703397
0 2 -0.0093294051627385
-1 2 0.00131027253668762
19 3 0.00543665321192778
18 3 -0.00181960567532708
17 3 -0.0104100708578321
16 3 0.0103722459132907
15 3 0.00795728957551423
14 3 -0.0115728827128724
13 3 -0.00218540068021475
12 3 0.0126312880044223
11 3 -0.00602180355055325
10 3 -0.00312951372171402
9 3 0.00323777935718234
8 3 -0.00341036751725245
7 3 -0.00123698447652449
6 3 -0.000663349917081268
5 3 -0.00160215869803526
4 3 0.00337393492308571
3 3 0.00360769253149457
2 3 -0.00920990286661929
1 3 0.00116840042213176
0 3 0.0130136355260733
-1 3 -0.00531149285021435
19 4 -0.000878653348131713
18 4 -0.00169450496247883
17 4 0.00359477124183006
16 4 -0.00537610877684408
15 4 -0.000601995184038536
14 4 0.0170441739914356
13 4 -0.00646671097817659
12 4 -0.0112608932461874
11 4 0.0144514089788921
10 4 0.00088946869070208
9 4 -0.00928519555970537
8 4 -0.000118595825426952
7 4 0.0056586842387228
6 4 -0.0036764705882353
5 4 0.000152320815331775
4 4 0.00173963263466305
3 4 -0.00279497764017889
2 4 0.00390260270774976
1 4 -0.00359477124183007
0 4 -0.00450102880658437
-1 4 0.00872487359723763
19 5 -0.00055449214596057
18 5 0.00477873203316037
17 5 -0.00404040404040405
16 5 -0.0016678168852082
15 5 0.00201288244766505
14 5 -0.00292909101005054
13 5 0.00746472338218837
12 5 0.00437466451959205
11 5 -0.0118331089464375
10 5 0.00351280452963482
9 5 0.0189722158321192
8 5 -0.00974624694821049
7 5 -0.00890947968638632
6 5 0.00893719806763284
5 5 -0.00172630257376021
4 5 -0.00061080570825699
3 5 0.00340424329745458
