time imbalance error
0.1 0.974409708667386 0.00322156892733243
50.28 0.173245799119907 0.0153291530042929
100.46 0.0469576198839916 0.0191079293634551
150.64 0.0328078856048527 0.0157591346616337
200.82 -0.0104904729374851 0.0187564966368898
251 -0.00452311178264723 0.0134082039685808
0.1 0.983386869432983 0.00363611833694834
120.08 0.0433434176490797 0.0144140383104207
240.06 0.00995886423242819 0.0145263045810466
360.04 0.00894928248545199 0.017660112227373
480.02 0.0120766957794469 0.0157235428870967
600 0.00696656206082635 0.0150901476810469
0.1 0.967752006481717 0.00619647950082176
200.08 -0.0179841848766166 0.0151787811673773
400.06 0.0174177231509725 0.0273484206685762
600.04 -0.0131696781420164 0.0226806190406762
800.02 0.0299226245450639 0.0267437043135811
1000 -0.00232321823603763 0.0362233972910375
