time imbalance error
0.1 0.958705603357218 0.00816346481095313
50.08 0.523946082316996 0.0259451064024053
100.06 0.423518207164694 0.0183861872832377
150.04 0.288340152393656 0.0174487593651621
200.02 0.193110033216791 0.0160463639848193
250 0.119718717605378 0.0175460279045514
0.1 0.972945942166105 0.00430968017352969
120.08 0.313660470929916 0.0234189337143597
240.06 0.137204096929483 0.0184839505875878
360.04 0.0402557688053724 0.0167033574329097
480.02 0.00350145951953231 0.0192116809208794
600 0.0327808202773628 0.019359553279725
0.1 0.971003994596486 0.00498765692720988
200.08 0.149137178854636 0.0188705646780959
400.06 0.06517203168214 0.0155827631138215
600.04 -0.0033016746968154 0.0175339196961848
800.02 -0.0255826821713307 0.0210792762019822
1000 0.0133506227938898 0.0225873906019898
