time imbalance error
0.1 0.986530907535146 0.00368015655116704
50.08 0.917057926500136 0.00581201115952785
100.06 0.826030779286046 0.0107371647534627
150.04 0.690896006128497 0.00787363122688287
200.02 0.727468058215413 0.0173542317351864
250 0.601140695526407 0.0321065334399855
0.1 0.977285688744266 0.00436846614494914
120.08 0.784512401602064 0.0192446807938713
240.06 0.637548082097809 0.00950220087598741
360.04 0.47105400809551 0.011927013813903
480.02 0.365268602424385 0.0235417365752427
600 0.385682327554324 0.0225577572812325
0.1 0.982933532013924 0.00377204907966489
200.08 0.599102581123104 0.0159292096057275
400.06 0.418989650700177 0.0207546482732221
600.04 0.337979962428068 0.0164289161448228
800.02 0.280031220804842 0.0208740871960634
1000 0.311603252812809 0.0210694917604799
