time imbalance error
0.1 0.964605883099227 0.0060955477232148
50.28 0.729902206494387 0.0147281607933441
100.46 0.573773423267877 0.0262234420545125
150.64 0.469724441037705 0.0369400164210481
200.82 0.396470687026195 0.0283974596046084
251 0.302243735240017 0.025763755754329
0.1 0.957151377218158 0.0095257971069873
120.28 0.462772655709421 0.0255531210546181
240.46 0.254378431291882 0.027376478246651
360.64 0.182769584921124 0.0249141328788752
480.82 0.0520271839584831 0.0289831414730591
601 0.0929046143578634 0.0145074824380217
0.1 0.980516544651664 0.00661984068129638
200.08 0.289951124756813 0.0186573807696444
400.06 0.13826288090994 0.0311332221952403
600.04 0.0934998548696312 0.0223057481353911
800.02 0.09275946301431 0.0445945321997538
1000 0.0768972905020932 0.0374971960651785
