NaN	-1000	-900	-800	-700	-600	-500	-400	-300	-200	-100	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000
-1000	9.06987274458189E-7	3.76372425466347E-6	1.80860360234318E-5	-9.49649684284386E-6	-5.01329298653887E-6	-1.13366348360633E-6	1.16348386243474E-6	2.39433806117749E-5	3.43951803726987E-5	1.47851356531239E-5	-6.58539056131893E-6	-1.623774109497E-5	1.07688718807632E-5	6.03279128178956E-6	4.47854250832915E-6	-3.5080430462896E-6	-7.88331410164152E-6	1.88368221133503E-6	-2.78261601390316E-5	3.35091235128013E-5	1.60692579954993E-5	-2.58059844704832E-5	-8.359133414838E-6	-2.35104023215829E-5	3.30049133415403E-5	3.2403669803966E-6	3.04226941895966E-6	-3.93604723663776E-5	-1.32110318039142E-5	-5.24516284255061E-6	-2.53040575677705E-5	7.70758282057257E-6	3.97523955750447E-5	-6.26671632537676E-5	-2.08272727408644E-5	-2.19207354030345E-5	3.53784680574494E-5	1.3964618469986E-5	-1.82194704623453E-5	3.71351851432265E-5	-8.97008346509551E-7
-900	-2.52867280472208E-5	3.30886512721824E-5	2.17311267304165E-5	-1.23245855256668E-5	4.0716014234586E-6	-1.2679829877002E-5	-2.9760744982341E-5	-2.37844555938096E-5	4.48644289811858E-6	3.88815980830905E-5	-5.92470357324582E-6	1.6146529028147E-5	-1.12461463241779E-7	2.5069114745616E-5	6.89220410152639E-6	-1.00653997410677E-5	3.91078342805043E-6	4.56832480328449E-6	-2.40871592447278E-5	-1.79925632079357E-5	-1.71338084299193E-5	1.07617230418419E-6	-1.42875086928494E-5	-8.34629762401719E-6	-2.26737041015425E-5	1.06221701645802E-5	3.92061375157186E-6	2.92308778259341E-5	-9.89116475500133E-6	1.32600662587676E-5	2.88070636207669E-5	1.12222175416405E-5	4.35298559640584E-6	-4.20322772584404E-6	-4.93908758235936E-6	1.65864740429767E-5	-1.1219919586319E-5	3.32842598277442E-7	-1.44959546199725E-5	-8.17460346024882E-6	-9.01424749404665E-7
-800	2.63690173806666E-5	-2.07106231391281E-5	-3.05008274612689E-5	1.68798630360918E-5	-1.68671924396681E-6	1.30950788953294E-5	-1.03423801222659E-5	-4.43945800092894E-5	-8.937508612002E-6	-8.02037282021315E-6	-2.96133793187469E-5	4.77276310214756E-6	1.13105075096989E-5	4.60003866072527E-6	1.30726051145376E-5	1.6426702741737E-5	1.27852398682033E-5	1.10163787948162E-5	1.09479892853587E-5	-2.05439547446266E-5	6.76336469261677E-6	-2.21786270915475E-5	-2.37165880813568E-5	-3.98361951699199E-5	4.34042538657823E-7	2.52713352684232E-5	8.01252338880445E-6	1.74232668080127E-5	1.52047535068396E-5	5.20397858772942E-5	4.06349932088924E-5	1.55420070176901E-5	1.29828468176168E-5	-4.4530277715741E-5	-4.46137437710196E-5	1.34434960668103E-5	-1.38114446772513E-5	2.70089172671036E-5	2.06640918931765E-6	3.55441790852586E-6	-1.82211219675739E-5
-700	-4.00479058474357E-6	-1.26047611045383E-5	-3.41540019940634E-6	2.29319837979544E-5	-5.25190243664974E-6	7.09136479355554E-6	3.14865645777841E-6	7.17361320711859E-6	-1.72866665774122E-5	-9.10502988789608E-6	-2.94478773870252E-6	1.4391136273101E-5	-7.57717620571132E-6	4.91969130895143E-6	-1.95112189872363E-5	9.83996068541771E-6	1.61802687209749E-5	-5.68371383751395E-5	-4.65791822550604E-6	6.99563933541771E-6	-8.31653395461161E-6	7.90086835213326E-6	-1.60168228649489E-5	-4.16187342716937E-5	-4.19085388129783E-6	1.03104286666494E-5	-1.15686216447876E-5	1.01247402289661E-5	-2.26128178676615E-5	-2.07522277244797E-5	1.60100655503004E-5	-8.29413158408376E-6	-1.48712455688435E-6	4.67707915915761E-5	7.72890235447929E-6	2.0611626510491E-5	-1.63017807108433E-5	1.38259894744206E-5	2.73372221329984E-5	-9.0250605114298E-6	5.00885504533796E-5
-600	4.57597592551142E-6	1.98426235875349E-5	7.76195540175775E-6	9.6496263536639E-6	3.71596406645144E-5	-4.59926874164402E-6	3.42424658316698E-5	-6.35552664626278E-6	4.75122143284279E-6	-2.1318596786732E-5	-9.16667031935663E-6	-1.28479319439167E-5	5.8884939409073E-6	-2.67337005217027E-5	9.83144859120056E-6	6.69777674112725E-6	-7.40393731422466E-6	-2.81204280012481E-5	-1.06519746697965E-5	9.52620561839998E-6	3.67530393738252E-5	1.00067222602461E-6	-3.1245527945603E-5	-1.08989859432569E-5	2.32310115380481E-5	-1.88507152776411E-5	1.22580357972856E-5	4.84778557402907E-7	-2.06164399937701E-5	-8.15884007786102E-6	4.06974403782812E-6	-1.13800614829197E-5	-2.63480762538445E-7	8.03253696546742E-6	-2.40089958398112E-5	5.12619424801873E-6	1.65647881403208E-5	-2.75213524244153E-5	1.54430643250715E-5	1.09657009988252E-5	-3.71456560454724E-6
-500	1.01385155814981E-5	-1.45936743829662E-6	5.61450301228989E-6	-3.82032785398576E-6	1.5684607750465E-6	2.86719609597972E-5	-2.98253157850708E-5	7.66887482790573E-6	2.41492364070113E-5	-3.98679485801803E-6	5.03314879117553E-6	-1.07184123333846E-5	-1.37602168576515E-5	-4.41190450207961E-6	-1.63055091846309E-5	-5.59254655743151E-6	-2.47592201127834E-5	2.32984232456477E-5	4.62441430437201E-6	8.73854663802303E-6	3.42948108479937E-5	1.86451245183749E-5	6.16024534674737E-6	-1.4718234014543E-5	-3.16294185786925E-5	-1.27705394852908E-5	1.20088090896359E-5	-2.20115804229741E-5	4.89889557130749E-6	1.72400032144893E-5	-3.64322220516397E-5	-3.34130773602389E-6	7.57509563902803E-7	-4.22165661058186E-5	5.55769530661755E-5	3.37362108582361E-6	-7.60213329460161E-6	-2.13930202025195E-5	2.87215730719673E-5	4.14858270026644E-6	1.42242475598492E-6
-400	2.73122673348394E-5	6.39139867492852E-6	2.3336657191622E-5	-2.38943172496911E-5	-8.01642118636723E-6	3.68607968419735E-6	8.42966364539861E-6	2.41332935119008E-6	1.84120253317172E-5	-5.7257887884048E-6	-1.18523317316024E-5	-1.708636632913E-5	-1.9586220100415E-5	-1.95007128608885E-5	4.23584210873762E-5	-3.44292853222639E-6	-2.2352914073498E-5	-6.56726098978387E-6	-4.71306181992056E-6	-1.3324270632283E-5	1.27392441718949E-5	2.20228166816314E-5	2.62625752469274E-5	-1.93531089490712E-5	-8.3033710976361E-6	9.94012332384112E-6	-3.05449653771875E-5	-9.3126657488534E-7	-1.15698195374166E-5	-6.05429740263266E-6	-2.89102156992446E-5	1.36118216111536E-5	-2.47043809292298E-5	1.74376659729751E-5	6.26357951095034E-6	2.09280079243669E-7	1.02836257501484E-5	-7.7824100981121E-6	6.47891872397239E-6	1.13803118684239E-5	2.40245238039073E-5
-300	-1.80379963816645E-5	1.00063952688346E-5	1.65585649897962E-5	-1.5064114714827E-5	9.54830928191691E-6	7.017816829998E-6	-2.6843141158535E-5	-1.91759397351928E-5	1.70441626297342E-5	4.88890378187593E-6	-8.56620633776087E-6	-3.57337096087984E-6	-3.86606574184519E-5	2.25707766542441E-5	2.44232638479529E-5	9.36273514433858E-6	1.69336851706511E-5	1.65644626483407E-5	1.19539746962514E-5	1.81954257893451E-5	-3.44757950509433E-5	3.00721360146195E-5	-1.33693074107242E-5	-5.03568957575434E-5	1.10446688867732E-5	3.21544411326779E-5	-1.16503423514934E-5	-1.04198520623651E-5	-2.31672925760716E-7	-2.94124438242538E-5	7.26436989796327E-6	2.07579213888956E-6	8.65295052349361E-6	2.39350518832399E-5	-1.75649455629233E-6	-1.24852754826308E-5	-1.97061431992796E-5	-5.86786375180302E-6	3.14419793436993E-5	2.1293602906895E-6	-1.35570878675517E-5
-200	-2.97891261683944E-5	-3.39293610396688E-5	1.52529740515163E-5	-2.35939765826074E-5	-2.60002837687502E-5	8.98691165242539E-6	5.40295589483299E-6	5.20655914534717E-5	-2.03033520305111E-5	-3.26441233739759E-5	5.3017578316037E-5	1.6920840512545E-5	-9.69056297420061E-6	4.93292872092059E-5	-5.24181757812474E-5	1.59394398842318E-5	3.05252617156403E-5	-5.61760225556057E-5	2.58763243054415E-5	-1.87296514342302E-5	-1.91286727382236E-5	5.62895592675631E-5	-3.04295725738024E-6	2.68716454263437E-5	6.73271938346E-5	-6.55219333842724E-5	1.98919260482499E-5	3.90063031374722E-5	-3.27382826020805E-5	2.98643920996903E-5	-3.54748648300187E-6	-2.02246276760116E-5	2.84300378646627E-5	-1.19898181165789E-5	-2.79193954113437E-5	-1.70606601898965E-5	-4.18027341781335E-5	-1.370500503281E-5	1.16882042944364E-5	9.36229824796058E-6	-8.65791119986655E-7
-100	6.25587714929337E-7	-2.10567212041071E-6	-2.83387705873207E-6	1.18065067457033E-5	2.56746299871689E-5	4.17437269821129E-6	3.51127891020922E-6	-3.35583577553493E-5	1.42128334384277E-5	4.61261614453778E-5	7.81222933254642E-6	-1.77362495074948E-5	4.58723247653479E-5	-5.14729460587421E-5	3.3441402748413E-5	4.97472871345119E-5	-9.95971300210539E-5	-2.74328315897501E-5	1.18654154644599E-5	-3.90215679760272E-5	7.18616716981991E-6	-4.2577742146484E-5	-4.89335474516926E-5	9.66303077268127E-5	-5.55557990774655E-5	-9.23374954917056E-6	4.08280955897737E-5	-4.08292426400691E-5	2.72437246036055E-5	2.1737961687117E-5	-7.88748982060899E-5	2.67331415376796E-5	4.38700935291605E-5	6.05345742627633E-6	1.39203398780637E-6	1.36541783480939E-5	-3.86289976811928E-5	5.70444392197331E-5	-9.8480498375827E-7	-2.21868533791366E-7	-7.68672980293058E-6
