MUV-21 as-synthesised	
2 q(deg.)	Intenisty (a. u.)
6.96821	3725
6.98134	3845
6.99447	3867
7.0076	3899
7.02073	3741
7.03386	3688
7.04699	3785
7.06012	3852
7.07325	3797
7.08638	3739
7.09951	3752
7.11265	3803
7.12578	3730
7.13891	3785
7.15204	3730
7.16517	3756
7.1783	3686
7.19143	3802
7.20456	3668
7.21769	3802
7.23082	3812
7.24395	3629
7.25708	3718
7.27021	3624
7.28334	3578
7.29647	3626
7.3096	3708
7.32273	3659
7.33586	3741
7.34899	3729
7.36212	3622
7.37525	3724
7.38838	3731
7.40151	3675
7.41464	3628
7.42777	3652
7.4409	3619
7.45403	3767
7.46716	3691
7.48029	3551
7.49342	3711
7.50655	3661
7.51968	3658
7.53281	3793
7.54594	3667
7.55907	3706
7.5722	3512
7.58534	3672
7.59847	3614
7.6116	3604
7.62473	3616
7.63786	3688
7.65099	3634
7.66412	3590
7.67725	3638
7.69038	3602
7.70351	3587
7.71664	3739
7.72977	3597
7.7429	3584
7.75603	3622
7.76916	3653
7.78229	3553
7.79542	3635
7.80855	3563
7.82168	3479
7.83481	3662
7.84794	3688
7.86107	3601
7.8742	3581
7.88733	3592
7.90046	3480
7.91359	3645
7.92672	3609
7.93985	3636
7.95298	3596
7.96611	3436
7.97924	3559
7.99237	3602
8.0055	3567
8.01863	3541
8.03176	3511
8.0449	3604
8.05803	3454
8.07116	3595
8.08429	3499
8.09742	3626
8.11055	3503
8.12368	3617
8.13681	3584
8.14994	3621
8.16307	3455
8.1762	3547
8.18933	3580
8.20246	3445
8.21559	3589
8.22872	3555
8.24185	3576
8.25498	3540
8.26811	3498
8.28124	3498
8.29437	3646
8.3075	3488
8.32063	3528
8.33376	3576
8.34689	3606
8.36002	3550
8.37315	3520
8.38628	3698
8.39941	3527
8.41254	3661
8.42567	3767
8.4388	3726
8.45193	3703
8.46506	3682
8.47819	3747
8.49132	3731
8.50446	3693
8.51759	3735
8.53072	3912
8.54385	3853
8.55698	3902
8.57011	3812
8.58324	3886
8.59637	3934
8.6095	3958
8.62263	3918
8.63576	4207
8.64889	4250
8.66202	4338
8.67515	4370
8.68828	4546
8.70141	4394
8.71454	4418
8.72767	4591
8.7408	4530
8.75393	4473
8.76706	4592
8.78019	4746
8.79332	4736
8.80645	4963
8.81958	5313
8.83271	5329
8.84584	5458
8.85897	5653
8.8721	5771
8.88523	6228
8.89836	6667
8.91149	7360
8.92462	7966
8.93775	7926
8.95088	7249
8.96401	6443
8.97715	5019
8.99028	4365
9.00341	3986
9.01654	3651
9.02967	3705
9.0428	3462
9.05593	3411
9.06906	3465
9.08219	3401
9.09532	3468
9.10845	3456
9.12158	3399
9.13471	3520
9.14784	3357
9.16097	3430
9.1741	3363
9.18723	3327
9.20036	3369
9.21349	3409
9.22662	3489
9.23975	3404
9.25288	3512
9.26601	3397
9.27914	3429
9.29227	3310
9.3054	3392
9.31853	3460
9.33166	3536
9.34479	3376
9.35792	3482
9.37105	3421
9.38418	3465
9.39731	3402
9.41044	3347
9.42357	3437
9.43671	3478
9.44984	3339
9.46297	3426
9.4761	3542
9.48923	3556
9.50236	3614
9.51549	3631
9.52862	3535
9.54175	3668
9.55488	3535
9.56801	3487
9.58114	3707
9.59427	3564
9.6074	3779
9.62053	3644
9.63366	3678
9.64679	3647
9.65992	3732
9.67305	3812
9.68618	4045
9.69931	4079
9.71244	4289
9.72557	4422
9.7387	4445
9.75183	4340
9.76496	4380
9.77809	4402
9.79122	4296
9.80435	4410
9.81748	4530
9.83061	4907
9.84374	4971
9.85687	5204
9.87	5715
9.88313	6359
