MUV-21 as-synthesised	
2 q(deg.)	Intenisty (a. u.)
35.58	41.1243
35.6	33.20453
35.62	30.04808
35.64	30.88155
35.66	34.00297
35.68	36.17797
35.7	34.81425
35.72	32.67285
35.74	32.51152
35.76	33.30412
35.78	31.89143
35.8	28.6518
35.82	26.63565
35.84	27.35948
35.86	31.60875
35.88	40.39283
35.9	54.61747
35.92	72.68528
35.94	88.63725
35.96	98.32125
35.98	97.02075
36	83.2185
36.02	68.27453
36.04	61.13452
36.06	63.81735
36.08	74.90557
36.1	90.6045
36.12	104.8815
36.14	107.4
36.16	97.9485
36.18	87.25875
36.2	82.88625
36.22	88.065
36.24	96.696
36.26	94.84425
36.28	78.69
36.3	59.91728
36.32	46.77367
36.34	39.25965
36.36	33.95483
36.38	28.8258
36.4	24.87112
36.42	22.7862
36.44	22.46745
36.46	23.47552
36.48	25.25408
36.5	27.86865
36.52	31.9137
36.54	38.42408
36.56	50.04442
36.58	70.01122
36.6	100.64625
36.62	138.651
36.64	172.668
36.66	186.89325
36.68	165.64575
36.7	122.397
36.72	83.14725
36.74	56.2059
36.76	39.70395
36.78	30.0228
36.8	24.33277
36.82	21.03705
36.84	19.5387
36.86	19.26983
36.88	20.8161
36.9	24.74955
36.92	31.56825
36.94	40.17548
36.96	45.02325
36.98	40.92592
37	32.86808
37.02	26.75947
37.04	23.83125
37.06	22.6533
37.08	21.48517
37.1	19.56097
37.12	17.03663
37.14	15.09607
37.16	14.47102
37.18	15.34493
37.2	17.85608
37.22	21.68865
37.24	25.24853
37.26	25.99673
37.28	25.07663
37.3	25.932
37.32	30.60533
37.34	40.27282
37.36	54.70995
37.38	69.49672
37.4	73.95023
37.42	65.18032
37.44	54.89805
37.46	49.84185
37.48	47.78535
37.5	43.7622
37.52	38.28923
37.54	34.08173
37.56	32.66152
37.58	35.29642
37.6	41.80327
37.62	48.92355
37.64	50.28323
37.66	45.42803
37.68	39.02272
37.7	33.63322
37.72	31.629
37.74	34.25813
37.76	41.07518
37.78	48.20385
37.8	47.85052
37.82	39.70567
37.84	31.0194
37.86	25.19175
37.88	22.48477
37.9	22.55955
37.92	25.2153
37.94	30.24585
37.96	36.62407
37.98	42.8385
38	45.9084
38.02	43.37752
38.04	39.01665
38.06	37.3971
38.08	40.36912
38.1	49.125
38.12	64.37168
38.14	85.49325
38.16	104.2155
38.18	108.93225
38.2	107.60625
38.22	117.79125
38.24	149.15475
38.26	203.65725
38.28	267.9555
38.3	304.01325
38.32	274.92825
38.34	205.9095
38.36	144.603
38.38	105.5535
38.4	85.65375
38.42	78.90525
38.44	79.29525
38.46	77.106
38.48	67.13153
38.5	56.22742
38.52	49.47915
38.54	47.12175
38.56	48.075
38.58	51.2625
38.6	56.98785
38.62	64.85775
38.64	68.84363
38.66	63.44295
38.68	54.58785
38.7	49.059
38.72	47.74815
38.74	50.11747
38.76	55.25805
38.78	61.44653
38.8	66.55238
38.82	74.21715
38.84	88.029
38.86	100.6995
38.88	99.01575
38.9	88.66125
38.92	84.807
38.94	91.46625
38.96	100.245
38.98	95.09775
39	76.08825
39.02	57.3183
39.04	45.34575
39.06	40.20248
39.08	40.20593
39.1	42.70845
39.12	43.21748
39.14	40.15642
39.16	35.47133
39.18	30.0246
39.2	25.36823
39.22	22.50682
39.24	21.33953
39.26	21.5406
39.28	22.8861
39.3	25.45335
39.32	29.47117
39.34	35.81153
39.36	46.32833
39.38	63.84923
39.4	91.6125
39.42	130.392
39.44	169.06725
39.46	182.6355
39.48	174.99675
39.5	176.29125
39.52	194.31975
39.54	205.2345
39.56	184.602
39.58	151.11975
39.6	127.17525
39.62	114.12
39.64	99.84975
39.66	79.93575
39.68	61.10977
39.7	47.26013
39.72	38.5566
39.74	33.1788
39.76	29.68807
39.78	27.0396
39.8	24.95663
39.82	23.20853
39.84	22.06485
39.86	21.73193
39.88	22.47233
39.9	24.39645
39.92	27.40328
39.94	31.47225
39.96	37.19543
39.98	45.89198
40	59.66753
