MUV-20a as-synthesised	
2 q(deg.)	Intenisty (a. u.)
6.96821	3974
6.98134	3997
6.99447	4025
7.0076	3980
7.02073	4073
7.03386	4105
7.04699	4071
7.06012	4089
7.07325	4074
7.08638	4117
7.09951	4167
7.11265	4090
7.12578	4211
7.13891	4166
7.15204	4233
7.16517	4248
7.1783	4337
7.19143	4254
7.20456	4306
7.21769	4298
7.23082	4303
7.24395	4259
7.25708	4319
7.27021	4214
7.28334	4305
7.29647	4174
7.3096	4387
7.32273	4221
7.33586	4429
7.34899	4439
7.36212	4441
7.37525	4487
7.38838	4705
7.40151	4694
7.41464	4576
7.42777	4615
7.4409	4672
7.45403	4806
7.46716	4853
7.48029	4829
7.49342	4793
7.50655	4988
7.51968	5045
7.53281	5160
7.54594	5141
7.55907	5298
7.5722	5241
7.58534	5474
7.59847	5575
7.6116	5674
7.62473	5857
7.63786	5929
7.65099	6085
7.66412	6408
7.67725	6541
7.69038	6852
7.70351	7164
7.71664	7468
7.72977	7721
7.7429	8263
7.75603	8619
7.76916	8886
7.78229	8871
7.79542	7945
7.80855	6793
7.82168	5561
7.83481	4646
7.84794	4255
7.86107	4013
7.8742	3924
7.88733	3866
7.90046	3856
7.91359	3866
7.92672	3714
7.93985	3643
7.95298	3728
7.96611	3805
7.97924	3654
7.99237	3606
8.0055	3684
8.01863	3595
8.03176	3627
8.0449	3530
8.05803	3608
8.07116	3583
8.08429	3656
8.09742	3641
8.11055	3628
8.12368	3489
8.13681	3557
8.14994	3619
8.16307	3619
8.1762	3663
8.18933	3601
8.20246	3493
8.21559	3562
8.22872	3539
8.24185	3571
8.25498	3573
8.26811	3512
8.28124	3568
8.29437	3663
8.3075	3451
8.32063	3609
8.33376	3685
8.34689	3384
8.36002	3474
8.37315	3444
8.38628	3491
8.39941	3476
8.41254	3406
8.42567	3443
8.4388	3493
8.45193	3433
8.46506	3485
8.47819	3422
8.49132	3481
8.50446	3338
8.51759	3485
8.53072	3440
8.54385	3531
8.55698	3550
8.57011	3351
8.58324	3370
