CH3Cl	
2 q(deg.)	Intenisty (a. u.)
6.98134	3329
6.99447	3331
7.0076	3287
7.02073	3366
7.03386	3331
7.04699	3325
7.06012	3382
7.07325	3449
7.08638	3286
7.09951	3269
7.11265	3387
7.12578	3349
7.13891	3373
7.15204	3348
7.16517	3174
7.1783	3239
7.19143	3320
7.20456	3272
7.21769	3344
7.23082	3394
7.24395	3305
7.25708	3255
7.27021	3257
7.28334	3319
7.29647	3317
7.3096	3278
7.32273	3131
7.33586	3288
7.34899	3257
7.36212	3362
7.37525	3230
7.38838	3257
7.40151	3258
7.41464	3361
7.42777	3294
7.4409	3316
7.45403	3286
7.46716	3209
7.48029	3283
7.49342	3235
7.50655	3353
7.51968	3388
7.53281	3243
7.54594	3152
7.55907	3236
7.5722	3249
7.58534	3301
7.59847	3259
7.6116	3216
7.62473	3145
7.63786	3238
7.65099	3344
7.66412	3276
7.67725	3260
7.69038	3305
7.70351	3284
7.71664	3102
7.72977	3282
7.7429	3163
7.75603	3265
7.76916	3242
7.78229	3163
7.79542	3173
7.80855	3158
7.82168	3133
7.83481	3211
7.84794	3197
7.86107	3214
7.8742	3127
7.88733	3251
7.90046	3107
7.91359	3186
7.92672	3237
7.93985	3225
7.95298	3168
7.96611	3194
7.97924	3164
7.99237	3112
8.0055	3229
8.01863	3240
8.03176	3112
8.0449	3163
8.05803	3104
8.07116	3215
8.08429	3208
8.09742	3094
8.11055	3107
8.12368	3261
8.13681	3176
8.14994	3100
8.16307	3278
8.1762	3154
8.18933	3129
8.20246	3119
8.21559	3101
8.22872	3197
8.24185	3239
8.25498	3165
8.26811	3164
8.28124	3105
8.29437	3149
8.3075	3094
8.32063	3002
8.33376	3239
8.34689	3107
8.36002	3124
8.37315	3146
8.38628	3246
8.39941	3185
8.41254	3098
8.42567	3138
8.4388	3221
8.45193	3143
8.46506	3122
8.47819	3199
8.49132	3219
8.50446	3207
8.51759	3267
8.53072	3112
8.54385	3164
8.55698	3232
8.57011	3207
8.58324	3162
8.59637	3139
8.6095	3168
8.62263	3066
8.63576	3195
8.64889	3132
8.66202	3215
8.67515	3217
8.68828	3257
8.70141	3180
8.71454	3147
8.72767	3129
8.7408	3142
8.75393	3114
8.76706	3123
8.78019	3190
8.79332	3006
8.80645	3053
8.81958	3008
8.83271	3043
8.84584	3082
8.85897	3021
8.8721	2957
8.88523	3118
8.89836	3062
8.91149	3037
8.92462	3068
8.93775	2965
8.95088	2947
8.96401	3032
8.97715	3109
8.99028	2996
9.00341	2971
9.01654	3087
9.02967	3079
9.0428	3082
9.05593	2978
9.06906	3042
9.08219	3108
9.09532	3038
9.10845	3025
9.12158	3075
9.13471	3144
9.14784	2987
9.16097	3059
9.1741	3081
9.18723	2989
9.20036	2977
9.21349	3084
9.22662	2975
9.23975	3148
9.25288	3013
9.26601	2954
9.27914	3022
9.29227	3115
9.3054	3136
9.31853	3003
9.33166	3116
9.34479	3060
9.35792	3071
9.37105	3149
9.38418	3060
9.39731	3130
9.41044	3126
9.42357	2930
9.43671	3155
9.44984	3139
9.46297	3029
9.4761	3179
9.48923	3102
9.50236	3025
9.51549	3110
9.52862	3162
9.54175	3234
9.55488	3221
9.56801	3320
9.58114	3333
9.59427	3181
9.6074	3088
9.62053	3090
9.63366	3131
9.64679	2989
9.65992	3065
9.67305	3034
9.68618	2978
9.69931	2923
9.71244	2850
9.72557	3040
9.7387	2883
9.75183	2889
9.76496	2869
9.77809	2883
9.79122	2922
9.80435	2800
9.81748	2941
9.83061	2873
9.84374	2780
9.85687	2855
9.87	2851
9.88313	2834
9.89627	2774
9.9094	2880
9.92253	2865
9.93566	2842
9.94879	2881
9.96192	2876
9.97505	2860
9.98818	2793
10.00131	2850
10.01444	2764
10.02757	2855
10.0407	2758
10.05383	2816
10.06696	2846
10.08009	2803
10.09322	2787
10.10635	2753
10.11948	2795
10.13261	2769
10.14574	2870
10.15887	2781
10.172	2875
10.18513	2803
10.19826	2791
10.21139	2764
10.22452	2773
10.23765	2819
10.25078	2715
10.26391	2798
10.27704	2824
10.29017	2764
10.3033	2758
10.31643	2797
10.32956	2776
10.34269	2735
10.35582	2779
10.36896	2769
10.38209	2793
10.39522	2797
10.40835	2878
10.42148	2768
10.43461	2695
10.44774	2686
10.46087	2776
10.474	2825
10.48713	2899
10.50026	2772
10.51339	2754
10.52652	2818
10.53965	2735
10.55278	2808
10.56591	2852
10.57904	2768
10.59217	2748
10.6053	2828
10.61843	2886
10.63156	2836
10.64469	2750
10.65782	2725
10.67095	2780
10.68408	2672
10.69721	2695
10.71034	2853
10.72347	2784
10.7366	2682
10.74973	2699
10.76286	2777
10.77599	2770
10.78912	2715
10.80225	2686
10.81538	2596
10.82852	2735
10.84165	2798
10.85478	2723
10.86791	2743
10.88104	2831
10.89417	2690
10.9073	2583
10.92043	2644
10.93356	2753
10.94669	2679
10.95982	2812
10.97295	2705
10.98608	2733
10.99921	2743
11.01234	2706
11.02547	2660
11.0386	2710
11.05173	2741
11.06486	2677
11.07799	2667
11.09112	2710
11.10425	2700
11.11738	2650
11.13051	2675
11.14364	2612
11.15677	2646
11.1699	2589
11.18303	2650
11.19616	2735
11.20929	2614
11.22242	2583
11.23555	2693
11.24868	2634
11.26181	2709
11.27494	2545
11.28807	2634
11.30121	2672
11.31434	2664
11.32747	2624
11.3406	2614
11.35373	2696
11.36686	2684
11.37999	2677
11.39312	2622
11.40625	2669
11.41938	2540
11.43251	2645
11.44564	2644
11.45877	2598
11.4719	2566
11.48503	2573
11.49816	2677
11.51129	2660
11.52442	2545
11.53755	2626
11.55068	2567
11.56381	2542
11.57694	2669
11.59007	2728
11.6032	2569
11.61633	2673
11.62946	2682
11.64259	2620
11.65572	2593
11.66885	2684
11.68198	2551
11.69511	2652
11.70824	2636
11.72137	2732
11.7345	2713
11.74763	2568
11.76077	2727
11.7739	2625
11.78703	2640
11.80016	2599
11.81329	2650
11.82642	2655
11.83955	2556
11.85268	2667
11.86581	2561
11.87894	2545
11.89207	2647
11.9052	2640
11.91833	2602
11.93146	2553
11.94459	2559
11.95772	2560
11.97085	2563
11.98398	2575
11.99711	2619
12.01024	2545
12.02337	2600
12.0365	2547
12.04963	2586
12.06276	2543
12.07589	2561
12.08902	2487
12.10215	2566
12.11528	2495
12.12841	2542
12.14154	2538
12.15467	2575
12.1678	2524
12.18093	2683
12.19406	2581
12.20719	2468
12.22033	2547
12.23346	2469
12.24659	2525
12.25972	2511
12.27285	2589
12.28598	2627
12.29911	2566
12.31224	2538
12.32537	2588
12.3385	2487
12.35163	2549
12.36476	2572
12.37789	2626
12.39102	2497
12.40415	2544
12.41728	2551
12.43041	2551
12.44354	2534
12.45667	2577
12.4698	2521
12.48293	2595
12.49606	2568
12.50919	2595
12.52232	2551
12.53545	2584
12.54858	2543
12.56171	2533
12.57484	2629
12.58797	2517
12.6011	2618
12.61423	2582
12.62736	2544
12.64049	2604
12.65362	2615
12.66675	2486
12.67988	2576
12.69302	2556
12.70615	2494
12.71928	2549
12.73241	2520
12.74554	2541
12.75867	2587
12.7718	2469
12.78493	2587
12.79806	2589
12.81119	2486
12.82432	2466
12.83745	2536
12.85058	2487
12.86371	2652
12.87684	2508
12.88997	2531
12.9031	2551
12.91623	2463
12.92936	2548
12.94249	2555
12.95562	2462
12.96875	2480
12.98188	2427
12.99501	2470
13.00814	2551
13.02127	2536
13.0344	2474
13.04753	2501
13.06066	2525
13.07379	2483
13.08692	2517
13.10005	2446
13.11318	2460
13.12631	2664
13.13944	2572
13.15258	2397
13.16571	2479
13.17884	2336
13.19197	2472
13.2051	2457
13.21823	2507
13.23136	2434
13.24449	2597
13.25762	2477
13.27075	2535
13.28388	2522
13.29701	2491
13.31014	2503
13.32327	2569
13.3364	2405
13.34953	2412
13.36266	2530
13.37579	2562
13.38892	2405
13.40205	2452
13.41518	2562
13.42831	2583
13.44144	2427
13.45457	2470
13.4677	2523
13.48083	2496
13.49396	2553
13.50709	2526
13.52022	2530
13.53335	2531
13.54648	2610
13.55961	2600
13.57274	2636
13.58587	2619
13.599	2662
13.61214	2713
13.62527	2673
13.6384	2634
13.65153	2636
13.66466	2668
13.67779	2650
13.69092	2556
13.70405	2435
13.71718	2565
13.73031	2553
13.74344	2513
13.75657	2577
13.7697	2434
13.78283	2503
13.79596	2415
13.80909	2525
13.82222	2565
13.83535	2483
13.84848	2464
13.86161	2560
13.87474	2608
13.88787	2442
13.901	2578
13.91413	2440
13.92726	2438
13.94039	2563
13.95352	2441
13.96665	2545
13.97978	2559
13.99291	2542
14.00604	2563
14.01917	2570
14.0323	2548
14.04543	2545
14.05856	2571
14.07169	2519
14.08483	2557
14.09796	2521
14.11109	2618
14.12422	2620
14.13735	2594
14.15048	2681
14.16361	2738
14.17674	2682
14.18987	2723
14.203	2686
14.21613	2616
14.22926	2702
14.24239	2786
14.25552	2836
14.26865	2758
14.28178	2855
14.29491	2848
14.30804	2982
14.32117	3039
14.3343	3139
14.34743	3177
14.36056	3247
14.37369	3236
14.38682	3257
14.39995	3188
14.41308	3251
14.42621	3288
14.43934	3124
14.45247	3185
14.4656	2954
14.47873	2959
14.49186	2945
14.50499	2880
14.51812	2833
14.53125	2755
14.54439	2774
14.55752	2751
14.57065	2739
14.58378	2736
14.59691	2644
14.61004	2596
14.62317	2610
14.6363	2561
14.64943	2584
14.66256	2543
14.67569	2534
14.68882	2606
14.70195	2495
14.71508	2510
14.72821	2549
14.74134	2496
14.75447	2500
14.7676	2557
14.78073	2572
14.79386	2491
14.80699	2494
14.82012	2517
14.83325	2428
14.84638	2514
14.85951	2498
14.87264	2412
14.88577	2512
14.8989	2397
14.91203	2474
14.92516	2431
14.93829	2412
14.95142	2468
14.96455	2443
14.97768	2573
14.99081	2405
15.00394	2426
15.01708	2455
15.03021	2473
15.04334	2445
15.05647	2489
