Hexane	
2 q(deg.)	Intenisty (a. u.)
6.98134	3809
6.99447	3923
7.0076	4044
7.02073	4019
7.03386	3900
7.04699	4066
7.06012	3946
7.07325	3864
7.08638	4012
7.09951	3968
7.11265	3965
7.12578	3894
7.13891	3900
7.15204	4001
7.16517	3992
7.1783	3900
7.19143	3925
7.20456	4004
7.21769	3909
7.23082	3817
7.24395	3787
7.25708	3990
7.27021	3950
7.28334	3903
7.29647	3872
7.3096	3801
7.32273	3902
7.33586	3932
7.34899	3979
7.36212	3906
7.37525	4029
7.38838	3908
7.40151	3897
7.41464	3870
7.42777	3784
7.4409	3906
7.45403	3956
7.46716	3890
7.48029	3898
7.49342	3978
7.50655	3888
7.51968	3871
7.53281	3879
7.54594	3899
7.55907	3908
7.5722	3920
7.58534	3961
7.59847	3935
7.6116	3891
7.62473	3993
7.63786	3924
7.65099	3908
7.66412	3954
7.67725	3878
7.69038	3974
7.70351	3977
7.71664	3887
7.72977	3934
7.7429	3973
7.75603	3911
7.76916	3820
7.78229	3971
7.79542	3947
7.80855	3874
7.82168	3829
7.83481	3818
7.84794	3831
7.86107	3784
7.8742	3874
7.88733	3795
7.90046	3780
7.91359	3757
7.92672	3674
7.93985	3714
7.95298	3777
7.96611	3775
7.97924	3764
7.99237	3670
8.0055	3776
8.01863	3735
8.03176	3828
8.0449	3578
8.05803	3650
8.07116	3808
8.08429	3630
8.09742	3718
8.11055	3781
8.12368	3517
8.13681	3623
8.14994	3734
8.16307	3714
8.1762	3730
8.18933	3668
8.20246	3630
8.21559	3660
8.22872	3756
8.24185	3725
8.25498	3718
8.26811	3619
8.28124	3597
8.29437	3671
8.3075	3724
8.32063	3736
8.33376	3700
8.34689	3649
8.36002	3786
8.37315	3722
8.38628	3717
8.39941	3674
8.41254	3772
8.42567	3708
8.4388	3575
8.45193	3575
8.46506	3670
8.47819	3590
8.49132	3732
8.50446	3667
8.51759	3651
8.53072	3557
8.54385	3634
8.55698	3668
8.57011	3641
8.58324	3768
8.59637	3680
8.6095	3642
8.62263	3762
8.63576	3862
8.64889	3536
8.66202	3725
8.67515	3794
8.68828	3757
8.70141	3830
8.71454	3783
8.72767	3713
8.7408	3676
8.75393	3676
8.76706	3679
8.78019	3593
8.79332	3629
8.80645	3589
8.81958	3605
8.83271	3508
8.84584	3571
8.85897	3529
8.8721	3500
8.88523	3572
8.89836	3579
8.91149	3555
8.92462	3550
8.93775	3627
8.95088	3591
8.96401	3540
8.97715	3575
8.99028	3579
9.00341	3598
9.01654	3656
9.02967	3617
9.0428	3583
9.05593	3513
9.06906	3577
9.08219	3589
9.09532	3624
9.10845	3504
9.12158	3663
9.13471	3510
9.14784	3587
9.16097	3517
9.1741	3514
9.18723	3667
9.20036	3627
9.21349	3551
9.22662	3658
9.23975	3664
9.25288	3622
9.26601	3623
9.27914	3769
9.29227	3565
9.3054	3749
9.31853	3730
9.33166	3784
9.34479	3867
9.35792	3743
9.37105	3762
9.38418	3873
9.39731	3844
9.41044	4070
9.42357	3988
9.43671	4118
9.44984	4049
9.46297	4097
9.4761	4268
9.48923	4256
9.50236	4398
9.51549	4503
9.52862	4724
9.54175	4814
9.55488	4985
9.56801	5023
9.58114	5359
9.59427	5668
9.6074	5888
9.62053	6276
9.63366	6445
9.64679	6957
9.65992	6788
9.67305	6497
9.68618	6071
9.69931	5555
9.71244	4971
9.72557	4502
9.7387	4319
9.75183	3923
9.76496	3894
9.77809	3714
9.79122	3724
9.80435	3482
9.81748	3533
9.83061	3438
9.84374	3540
9.85687	3471
9.87	3471
9.88313	3410
9.89627	3370
9.9094	3454
9.92253	3405
9.93566	3450
9.94879	3366
9.96192	3325
9.97505	3330
9.98818	3311
10.00131	3227
10.01444	3274
10.02757	3302
10.0407	3279
10.05383	3344
10.06696	3311
10.08009	3324
10.09322	3269
10.10635	3216
10.11948	3385
10.13261	3273
10.14574	3291
10.15887	3286
10.172	3411
10.18513	3322
10.19826	3193
10.21139	3210
10.22452	3289
10.23765	3313
10.25078	3275
10.26391	3310
10.27704	3240
10.29017	3272
10.3033	3459
10.31643	3222
10.32956	3323
10.34269	3319
10.35582	3181
10.36896	3288
10.38209	3263
10.39522	3196
10.40835	3290
10.42148	3300
10.43461	3446
10.44774	3341
10.46087	3378
10.474	3561
10.48713	3370
10.50026	3334
10.51339	3360
10.52652	3473
10.53965	3483
10.55278	3445
10.56591	3563
10.57904	3648
10.59217	3592
10.6053	3667
10.61843	3777
10.63156	3936
10.64469	3919
10.65782	4097
10.67095	4134
10.68408	4103
10.69721	4046
10.71034	3927
10.72347	3845
10.7366	3722
10.74973	3648
10.76286	3495
10.77599	3380
10.78912	3416
10.80225	3310
10.81538	3241
10.82852	3290
10.84165	3175
10.85478	3202
10.86791	3125
10.88104	3232
10.89417	3097
10.9073	3137
10.92043	3239
10.93356	3188
10.94669	3085
10.95982	3171
10.97295	3087
10.98608	3042
10.99921	3122
11.01234	3146
11.02547	3080
11.0386	3134
11.05173	3136
11.06486	3138
11.07799	3113
11.09112	3085
11.10425	3108
11.11738	3155
11.13051	3037
11.14364	3015
11.15677	3061
11.1699	3122
11.18303	3061
11.19616	3164
11.20929	3141
11.22242	3192
11.23555	3013
11.24868	3061
11.26181	3179
11.27494	3024
11.28807	3082
11.30121	3070
11.31434	3097
11.32747	3104
11.3406	3056
11.35373	3077
11.36686	3055
11.37999	3034
11.39312	3081
11.40625	3098
11.41938	3171
11.43251	3139
11.44564	3064
11.45877	3178
11.4719	3112
11.48503	3097
11.49816	3049
11.51129	3105
11.52442	3065
11.53755	3015
11.55068	3100
11.56381	3190
11.57694	3126
11.59007	3155
11.6032	3167
11.61633	3202
11.62946	3116
11.64259	3168
11.65572	3220
11.66885	3293
11.68198	3323
11.69511	3423
11.70824	3286
11.72137	3462
11.7345	3394
11.74763	3626
11.76077	3454
11.7739	3641
11.78703	3659
11.80016	3811
11.81329	3844
11.82642	3635
11.83955	3651
11.85268	3744
11.86581	3526
11.87894	3573
11.89207	3563
11.9052	3357
11.91833	3341
11.93146	3208
11.94459	3187
11.95772	3233
11.97085	3256
11.98398	3156
11.99711	3139
12.01024	3231
12.02337	3044
12.0365	3135
12.04963	3106
12.06276	3062
12.07589	3049
12.08902	3063
12.10215	3099
12.11528	3035
12.12841	3128
12.14154	3109
12.15467	3112
12.1678	3086
12.18093	3115
12.19406	3101
12.20719	3195
12.22033	3149
12.23346	3146
12.24659	3160
12.25972	3146
12.27285	3074
12.28598	3105
12.29911	3141
12.31224	3069
12.32537	3054
12.3385	3104
12.35163	3006
12.36476	3096
12.37789	3116
12.39102	3139
12.40415	2994
12.41728	2990
12.43041	3026
12.44354	2946
12.45667	3017
12.4698	3041
12.48293	3019
12.49606	2956
12.50919	3037
12.52232	3062
12.53545	3045
12.54858	3031
12.56171	3004
12.57484	3097
12.58797	3075
12.6011	3220
12.61423	2998
12.62736	3076
12.64049	3141
12.65362	3136
12.66675	3111
12.67988	3088
12.69302	3003
12.70615	3038
12.71928	3030
12.73241	2995
12.74554	2957
12.75867	3078
12.7718	2938
12.78493	2971
12.79806	2992
12.81119	2948
12.82432	3055
12.83745	3017
12.85058	2966
12.86371	3019
12.87684	2968
12.88997	3033
12.9031	2947
12.91623	2967
12.92936	2986
12.94249	2916
12.95562	2972
12.96875	3006
12.98188	2883
12.99501	2971
13.00814	3052
13.02127	2833
13.0344	2812
13.04753	2941
13.06066	2843
13.07379	3009
13.08692	2924
13.10005	2856
13.11318	2952
13.12631	2906
13.13944	2986
13.15258	2968
13.16571	2937
13.17884	2925
13.19197	2898
13.2051	2918
13.21823	2825
13.23136	2891
13.24449	2872
13.25762	2888
13.27075	2936
13.28388	2984
13.29701	2942
13.31014	2891
13.32327	2849
13.3364	2881
13.34953	3025
13.36266	2961
13.37579	2772
13.38892	2914
13.40205	2948
13.41518	2971
13.42831	2840
13.44144	2898
13.45457	2986
13.4677	3003
13.48083	2975
13.49396	3077
13.50709	2977
13.52022	2939
13.53335	2917
13.54648	2868
13.55961	2913
13.57274	2949
13.58587	3011
13.599	2902
13.61214	2870
13.62527	3021
13.6384	3069
13.65153	2933
13.66466	2934
13.67779	2966
13.69092	3020
13.70405	3045
13.71718	3133
13.73031	3201
13.74344	3203
13.75657	3068
13.7697	3130
13.78283	3264
13.79596	3212
13.80909	3049
13.82222	3177
13.83535	3230
13.84848	3221
13.86161	3145
13.87474	3148
13.88787	3123
13.901	3116
13.91413	3158
13.92726	3095
13.94039	3130
13.95352	3132
13.96665	3129
13.97978	3061
13.99291	3027
14.00604	3031
14.01917	3000
14.0323	3033
14.04543	3028
14.05856	3014
14.07169	3028
14.08483	3088
14.09796	3065
14.11109	3056
14.12422	3096
14.13735	3061
14.15048	3021
14.16361	3146
14.17674	3079
14.18987	3021
14.203	3174
14.21613	3074
14.22926	3245
14.24239	3233
14.25552	3379
14.26865	3332
14.28178	3539
14.29491	3581
14.30804	3629
14.32117	3670
14.3343	3760
14.34743	4014
14.36056	3929
14.37369	4050
14.38682	4203
14.39995	4152
14.41308	4232
14.42621	4158
14.43934	4216
14.45247	4373
14.4656	4387
14.47873	4438
14.49186	4677
14.50499	4761
14.51812	4992
14.53125	4781
14.54439	4793
14.55752	4584
14.57065	4306
14.58378	4284
14.59691	4084
14.61004	3761
14.62317	3541
14.6363	3416
14.64943	3331
14.66256	3192
14.67569	3256
14.68882	3099
14.70195	3080
14.71508	3085
14.72821	3049
14.74134	2980
14.75447	2846
14.7676	2989
14.78073	2915
14.79386	2947
14.80699	2950
14.82012	2845
14.83325	2918
14.84638	2905
14.85951	2870
14.87264	2923
14.88577	2860
14.8989	2986
14.91203	2770
14.92516	2752
14.93829	2821
14.95142	2797
14.96455	2922
14.97768	2884
14.99081	2825
15.00394	2831
15.01708	2873
15.03021	2809
15.04334	2809
15.05647	2763
15.0696	2897
15.08273	2947
15.09586	2877
15.10899	2820
15.12212	2733
15.13525	2808
15.14838	2882
15.16151	2767
15.17464	2779
15.18777	2840
15.2009	2787
15.21403	2733
15.22716	2785
15.24029	2829
15.25342	2829
15.26655	2807
15.27968	2801
15.29281	2785
15.30594	2797
15.31907	2816
15.3322	2796
15.34533	2788
15.35846	2759
15.37159	2831
15.38472	2859
15.39785	2743
15.41098	2808
15.42411	2752
15.43724	2775
15.45037	2854
15.4635	2727
