 -10    4    4    8     -0.0000002075     0.0000003054 
 -10    4    6    5      0.0000000203    -0.0000002033 
 -10    4    6    8      0.0000000350     0.0000006353 
 -10    5    4    8     -0.0000000203     0.0000002033 
 -10    5    6    5      0.0000002075    -0.0000003054 
 -10    5    6    8      0.0000001453     0.0000013201 
 -10    6    6    8      0.0000000350     0.0000006353 
 -9    2    4    5      0.0000016474    -0.0000000490 
 -9    2    4    8     -0.0000003159     0.0000006210 
 -9    2    7    5      0.0000000235    -0.0000000965 
 -9    2    7    8     -0.0000006558     0.0000001429 
 -9    3    1    5     -0.0000002684    -0.0000005568 
 -9    3    1    8     -0.0000000846    -0.0000003360 
 -9    3    2    5      0.0000005128    -0.0000000775 
 -9    3    2    8     -0.0000000575     0.0000003396 
 -9    3    3    5      0.0000000927     0.0000000376 
 -9    3    3    8     -0.0000000565     0.0000002921 
 -9    3    4    1     -0.0000005128     0.0000000775 
 -9    3    4    2      0.0000002684     0.0000005568 
 -9    3    4    3      0.0000000927     0.0000000376 
 -9    3    4    5      0.0000020801     0.0000015002 
 -9    3    4    6      0.0000000203    -0.0000002033 
 -9    3    4    7      0.0000000235    -0.0000000965 
 -9    3    4    8     -0.0000005314     0.0000013588 
 -9    3    6    5     -0.0000002330    -0.0000008708 
 -9    3    6    8     -0.0000000742     0.0000011644 
 -9    3    7    1      0.0000000230     0.0000001375 
 -9    3    7    2     -0.0000001097     0.0000001218 
 -9    3    7    3     -0.0000005363     0.0000001144 
 -9    3    7    5     -0.0000000018    -0.0000001276 
 -9    3    7    8     -0.0000007605     0.0000003966 
 -9    4    1    1      0.0000000317     0.0000002008 
 -9    4    1    2      0.0000000883     0.0000000419 
 -9    4    1    3     -0.0000000941     0.0000000252 
 -9    4    1    5     -0.0000002374    -0.0000005453 
 -9    4    1    7      0.0000001097    -0.0000001218 
 -9    4    1    8     -0.0000000061    -0.0000005666 
 -9    4    2    1     -0.0000000111    -0.0000001054 
 -9    4    2    2      0.0000000317     0.0000002008 
 -9    4    2    3      0.0000000415     0.0000000812 
