CPD_line2	Angle_line2
0	1.08
0	1.18
0	1.08
0	1.11
12.4	1.18
13.4618	1.06
20	1.06
4.34	1.07
4.73	1.14
-33.3594	1.15
-17.378	1.04
14.413	1.11
-21.497	1.12
-14.3164	1.13
-12.0703	1.12
-7.67578	1.17
-5.625	1.19
-3.96484	1.19
-4.0625	1.01
-2.69531	0.93
-2.5	0.98
-2.40234	0.99
-2.10938	1.05
-2.20703	1.1
-32.7734	1.16
-26.7187	1.03
-20.957	1.08
-15.293	1.15
-10.4102	1.03
-10.3125	1.08
