Identifier	matchCounts
ENSMUST00000193812	0
ENSMUST00000162897	0
ENSMUST00000159265	0
ENSMUST00000070533	0
ENSMUST00000195335	0
ENSMUST00000192336	0
ENSMUST00000194099	0
ENSMUST00000192973	0
ENSMUST00000195166	0
ENSMUST00000193244	0
ENSMUST00000194454	0
ENSMUST00000208660	0
ENSMUST00000208793	0
ENSMUST00000194992	0
ENSMUST00000027032	0
ENSMUST00000194382	0
ENSMUST00000027035	0
ENSMUST00000195555	0
ENSMUST00000192650	0
ENSMUST00000116652	0
ENSMUST00000192505	0
ENSMUST00000191647	0
ENSMUST00000191939	0
ENSMUST00000192913	0
ENSMUST00000130201	342
ENSMUST00000156816	435
ENSMUST00000045689	247
ENSMUST00000115538	325
ENSMUST00000192286	246
ENSMUST00000146665	236
ENSMUST00000132625	148
ENSMUST00000195445	3
ENSMUST00000134384	453
ENSMUST00000027036	1251
ENSMUST00000150971	451
ENSMUST00000119612	381
ENSMUST00000137887	328
ENSMUST00000115529	552
ENSMUST00000131119	417
ENSMUST00000141278	317
ENSMUST00000155020	618
ENSMUST00000081551	915
ENSMUST00000165720	858
ENSMUST00000194052	0
ENSMUST00000002533	2
ENSMUST00000118000	2
ENSMUST00000119256	2
ENSMUST00000170566	2
ENSMUST00000147158	1
ENSMUST00000156289	1
ENSMUST00000133521	0
ENSMUST00000194114	0
ENSMUST00000192847	670
ENSMUST00000044369	695
ENSMUST00000194676	244
ENSMUST00000194301	651
ENSMUST00000194978	115
ENSMUST00000192029	207
ENSMUST00000192698	693
ENSMUST00000192142	259
ENSMUST00000193241	0
ENSMUST00000194850	0
ENSMUST00000192685	0
ENSMUST00000160777	0
ENSMUST00000239100	0
ENSMUST00000027038	0
ENSMUST00000160339	0
ENSMUST00000159083	0
ENSMUST00000193807	0
ENSMUST00000044180	0
ENSMUST00000159906	54
ENSMUST00000160871	69
ENSMUST00000027040	1602
ENSMUST00000162210	27
ENSMUST00000160062	51
ENSMUST00000162795	622
ENSMUST00000161327	1530
ENSMUST00000159802	301
ENSMUST00000162257	916
ENSMUST00000159206	79
ENSMUST00000159661	291
ENSMUST00000161183	192
ENSMUST00000159349	159
ENSMUST00000159530	288
ENSMUST00000162418	124
ENSMUST00000159656	261
ENSMUST00000133144	16
ENSMUST00000140079	0
ENSMUST00000131494	0
ENSMUST00000043578	0
ENSMUST00000139756	0
ENSMUST00000131467	0
ENSMUST00000150761	0
ENSMUST00000151281	0
ENSMUST00000139838	0
ENSMUST00000163727	0
ENSMUST00000132207	0
ENSMUST00000142304	0
ENSMUST00000151015	0
ENSMUST00000130338	0
ENSMUST00000195780	0
ENSMUST00000061280	710
ENSMUST00000182114	71
ENSMUST00000182306	23
ENSMUST00000182823	443
ENSMUST00000182675	171
ENSMUST00000182388	73
ENSMUST00000182892	592
ENSMUST00000183204	585
ENSMUST00000194854	49
ENSMUST00000132064	0
ENSMUST00000191683	0
ENSMUST00000140295	0
ENSMUST00000140302	0
ENSMUST00000115484	0
ENSMUST00000135046	0
ENSMUST00000115488	0
ENSMUST00000144593	0
ENSMUST00000134075	0
ENSMUST00000194098	0
ENSMUST00000126083	0
ENSMUST00000192338	0
ENSMUST00000194602	0
ENSMUST00000193281	0
ENSMUST00000193635	0
ENSMUST00000195180	0
ENSMUST00000072079	650
ENSMUST00000144177	54
ENSMUST00000027044	54
ENSMUST00000130927	14
ENSMUST00000186467	16
ENSMUST00000190654	54
ENSMUST00000088666	0
ENSMUST00000088658	822
ENSMUST00000115468	472
ENSMUST00000160022	77
ENSMUST00000160451	57
ENSMUST00000188212	154
ENSMUST00000057438	803
ENSMUST00000166384	425
ENSMUST00000188782	427
ENSMUST00000168907	425
ENSMUST00000188625	0
ENSMUST00000188738	376
ENSMUST00000188298	399
ENSMUST00000171265	425
ENSMUST00000188830	12
ENSMUST00000189050	48
ENSMUST00000097826	383
ENSMUST00000191338	104
ENSMUST00000188486	74
ENSMUST00000052843	0
ENSMUST00000171802	0
ENSMUST00000125294	0
ENSMUST00000140948	1
ENSMUST00000118098	0
ENSMUST00000183059	0
ENSMUST00000185184	442
ENSMUST00000097824	363
ENSMUST00000192299	0
ENSMUST00000147000	0
ENSMUST00000124874	1
ENSMUST00000027049	1
ENSMUST00000130102	1
ENSMUST00000176398	1
ENSMUST00000155163	1
ENSMUST00000027050	818
ENSMUST00000190155	544
ENSMUST00000186528	713
ENSMUST00000188619	422
ENSMUST00000139578	684
ENSMUST00000150509	410
ENSMUST00000191296	280
ENSMUST00000190610	9
ENSMUST00000191012	68
ENSMUST00000071087	1193
ENSMUST00000143606	108
ENSMUST00000191360	76
ENSMUST00000117415	274
ENSMUST00000191521	74
ENSMUST00000118263	278
ENSMUST00000122156	288
ENSMUST00000190063	74
ENSMUST00000119714	273
ENSMUST00000134716	74
ENSMUST00000155974	74
ENSMUST00000186294	1097
ENSMUST00000149214	131
ENSMUST00000190318	96
ENSMUST00000188249	183
ENSMUST00000153804	118
ENSMUST00000188449	248
ENSMUST00000123261	186
ENSMUST00000185422	156
ENSMUST00000190625	122
ENSMUST00000187226	318
ENSMUST00000136283	83
ENSMUST00000128164	82
ENSMUST00000136898	77
ENSMUST00000148663	126
ENSMUST00000194474	0
ENSMUST00000088615	2145
ENSMUST00000187417	160
ENSMUST00000142497	146
ENSMUST00000156563	377
ENSMUST00000128834	46
ENSMUST00000131556	1056
ENSMUST00000186813	195
ENSMUST00000186720	307
ENSMUST00000192111	0
ENSMUST00000153695	0
ENSMUST00000035577	0
ENSMUST00000147575	0
ENSMUST00000140938	0
ENSMUST00000194845	0
ENSMUST00000192705	0
ENSMUST00000027056	42
ENSMUST00000190935	0
ENSMUST00000189822	11
ENSMUST00000187694	4
ENSMUST00000188189	4
ENSMUST00000187745	4
ENSMUST00000189385	5
ENSMUST00000188154	3
ENSMUST00000193623	0
ENSMUST00000171690	1
ENSMUST00000048613	1
ENSMUST00000150870	1
ENSMUST00000142117	1
ENSMUST00000141512	1
ENSMUST00000135014	1
ENSMUST00000137824	1
ENSMUST00000179089	1
ENSMUST00000141339	1
ENSMUST00000191437	0
ENSMUST00000194502	0
ENSMUST00000195360	0
ENSMUST00000177608	0
ENSMUST00000180062	0
ENSMUST00000186051	0
ENSMUST00000187376	0
ENSMUST00000088585	0
ENSMUST00000189541	0
ENSMUST00000186405	0
ENSMUST00000186674	0
ENSMUST00000189447	0
ENSMUST00000185780	0
ENSMUST00000188454	20
ENSMUST00000115403	20
ENSMUST00000115402	8
ENSMUST00000136197	4
ENSMUST00000146763	4
ENSMUST00000147606	4
ENSMUST00000133201	2
ENSMUST00000191566	2
ENSMUST00000191708	0
ENSMUST00000047577	0
ENSMUST00000081713	762
ENSMUST00000068304	761
ENSMUST00000006037	548
ENSMUST00000185275	1
ENSMUST00000146784	48
ENSMUST00000133232	86
ENSMUST00000147927	309
ENSMUST00000143603	280
ENSMUST00000139970	59
ENSMUST00000124088	47
ENSMUST00000145280	44
ENSMUST00000195493	0
ENSMUST00000195811	0
ENSMUST00000194484	0
ENSMUST00000194357	0
ENSMUST00000195506	2
ENSMUST00000195718	0
ENSMUST00000027068	2665
ENSMUST00000185447	648
ENSMUST00000188377	569
ENSMUST00000027071	667
ENSMUST00000156222	132
ENSMUST00000194537	8
ENSMUST00000088542	2
ENSMUST00000194709	0
ENSMUST00000193148	0
ENSMUST00000027066	314
ENSMUST00000168081	314
ENSMUST00000080664	299
ENSMUST00000190337	230
ENSMUST00000189526	28
ENSMUST00000188857	121
ENSMUST00000185453	75
ENSMUST00000187790	65
ENSMUST00000185329	20
ENSMUST00000193605	0
ENSMUST00000027062	3
