Identifier	matchCounts
ENSMUST00000186674	0
ENSMUST00000189447	0
ENSMUST00000185780	0
ENSMUST00000188454	23
ENSMUST00000115403	23
ENSMUST00000115402	14
ENSMUST00000136197	11
ENSMUST00000146763	10
ENSMUST00000147606	11
ENSMUST00000133201	2
ENSMUST00000191566	6
ENSMUST00000191708	0
ENSMUST00000047577	0
ENSMUST00000081713	715
ENSMUST00000068304	715
ENSMUST00000006037	518
ENSMUST00000185275	2
ENSMUST00000146784	27
ENSMUST00000133232	59
ENSMUST00000147927	288
ENSMUST00000143603	270
ENSMUST00000139970	96
ENSMUST00000124088	82
ENSMUST00000145280	79
ENSMUST00000195493	1
ENSMUST00000195811	0
ENSMUST00000194484	0
ENSMUST00000194357	0
ENSMUST00000195506	2
ENSMUST00000195718	6
ENSMUST00000027068	2916
ENSMUST00000185447	786
ENSMUST00000188377	708
ENSMUST00000027071	533
ENSMUST00000156222	107
ENSMUST00000194537	13
ENSMUST00000088542	0
ENSMUST00000194709	0
ENSMUST00000193148	0
ENSMUST00000027066	147
ENSMUST00000168081	147
ENSMUST00000080664	137
ENSMUST00000190337	111
ENSMUST00000189526	12
ENSMUST00000188857	57
ENSMUST00000185453	39
ENSMUST00000187790	36
ENSMUST00000185329	7
ENSMUST00000193605	0
ENSMUST00000027062	23
ENSMUST00000190719	17
ENSMUST00000188982	4
ENSMUST00000190471	9
ENSMUST00000194866	5
ENSMUST00000041447	81
ENSMUST00000235071	69
ENSMUST00000175681	0
ENSMUST00000170146	0
ENSMUST00000193873	0
ENSMUST00000194564	0
ENSMUST00000188371	390
ENSMUST00000186565	149
ENSMUST00000027057	389
ENSMUST00000188684	114
ENSMUST00000194867	5
ENSMUST00000040695	0
ENSMUST00000115367	0
ENSMUST00000145070	0
ENSMUST00000151004	0
ENSMUST00000140597	580
ENSMUST00000058437	4119
ENSMUST00000141217	4184
ENSMUST00000151017	2681
ENSMUST00000149566	4049
ENSMUST00000125005	4004
ENSMUST00000027053	699
ENSMUST00000152626	448
ENSMUST00000192560	0
ENSMUST00000162751	183
ENSMUST00000054668	183
ENSMUST00000162627	176
ENSMUST00000027052	176
ENSMUST00000162435	176
ENSMUST00000159558	286
ENSMUST00000128957	293
ENSMUST00000131257	278
ENSMUST00000115360	177
ENSMUST00000162007	284
ENSMUST00000127420	284
ENSMUST00000149320	179
ENSMUST00000151888	57
ENSMUST00000153966	63
ENSMUST00000115359	64
ENSMUST00000145092	54
ENSMUST00000144138	61
ENSMUST00000182554	166
ENSMUST00000182080	62
ENSMUST00000117146	472
ENSMUST00000236045	167
ENSMUST00000133639	170
ENSMUST00000136455	157
ENSMUST00000132919	97
ENSMUST00000195710	4
ENSMUST00000188641	833
ENSMUST00000115352	747
ENSMUST00000186948	483
ENSMUST00000187910	474
ENSMUST00000185771	471
ENSMUST00000185393	431
ENSMUST00000186701	367
ENSMUST00000188987	210
ENSMUST00000186541	215
ENSMUST00000190986	214
ENSMUST00000191535	215
ENSMUST00000177501	302
ENSMUST00000177532	110
ENSMUST00000065373	302
ENSMUST00000176451	72
ENSMUST00000191260	11
ENSMUST00000026881	63
ENSMUST00000190366	62
ENSMUST00000194790	0
ENSMUST00000186024	0
ENSMUST00000038382	8
ENSMUST00000026879	0
ENSMUST00000150457	0
ENSMUST00000189736	0
ENSMUST00000189465	0
ENSMUST00000088476	0
ENSMUST00000159958	0
ENSMUST00000160305	0
ENSMUST00000095075	0
ENSMUST00000130669	0
ENSMUST00000026876	0
ENSMUST00000115340	0
ENSMUST00000115344	0
ENSMUST00000097818	0
ENSMUST00000088463	0
ENSMUST00000097817	0
ENSMUST00000037294	0
ENSMUST00000149505	0
ENSMUST00000027059	1
ENSMUST00000187754	0
ENSMUST00000064976	1
ENSMUST00000191068	0
ENSMUST00000186972	0
ENSMUST00000193790	0
ENSMUST00000088448	2400
