Identifier	matchCounts
ENSMUST00000186674	0
ENSMUST00000189447	0
ENSMUST00000185780	0
ENSMUST00000188454	24
ENSMUST00000115403	24
ENSMUST00000115402	9
ENSMUST00000136197	5
ENSMUST00000146763	5
ENSMUST00000147606	5
ENSMUST00000133201	1
ENSMUST00000191566	4
ENSMUST00000191708	0
ENSMUST00000047577	0
ENSMUST00000081713	923
ENSMUST00000068304	922
ENSMUST00000006037	645
ENSMUST00000185275	5
ENSMUST00000146784	55
ENSMUST00000133232	105
ENSMUST00000147927	327
ENSMUST00000143603	303
ENSMUST00000139970	86
ENSMUST00000124088	74
ENSMUST00000145280	63
ENSMUST00000195493	0
ENSMUST00000195811	0
ENSMUST00000194484	0
ENSMUST00000194357	1
ENSMUST00000195506	7
ENSMUST00000195718	3
ENSMUST00000027068	2820
ENSMUST00000185447	772
ENSMUST00000188377	667
ENSMUST00000027071	747
ENSMUST00000156222	125
ENSMUST00000194537	14
ENSMUST00000088542	0
ENSMUST00000194709	0
ENSMUST00000193148	0
ENSMUST00000027066	439
ENSMUST00000168081	439
ENSMUST00000080664	414
ENSMUST00000190337	338
ENSMUST00000189526	55
ENSMUST00000188857	123
ENSMUST00000185453	91
ENSMUST00000187790	78
ENSMUST00000185329	17
ENSMUST00000193605	0
ENSMUST00000027062	12
ENSMUST00000190719	4
ENSMUST00000188982	3
ENSMUST00000190471	1
ENSMUST00000194866	0
ENSMUST00000041447	179
ENSMUST00000235071	139
ENSMUST00000175681	0
ENSMUST00000170146	0
ENSMUST00000193873	0
ENSMUST00000194564	0
ENSMUST00000188371	335
ENSMUST00000186565	130
ENSMUST00000027057	324
ENSMUST00000188684	83
ENSMUST00000194867	0
ENSMUST00000040695	0
ENSMUST00000115367	0
ENSMUST00000145070	0
ENSMUST00000151004	0
ENSMUST00000140597	577
ENSMUST00000058437	4256
ENSMUST00000141217	4328
ENSMUST00000151017	2827
ENSMUST00000149566	4183
ENSMUST00000125005	4135
ENSMUST00000027053	1493
ENSMUST00000152626	1041
ENSMUST00000192560	0
ENSMUST00000162751	457
ENSMUST00000054668	457
ENSMUST00000162627	457
ENSMUST00000027052	457
ENSMUST00000162435	457
ENSMUST00000159558	706
ENSMUST00000128957	706
ENSMUST00000131257	695
ENSMUST00000115360	457
ENSMUST00000162007	698
ENSMUST00000127420	699
ENSMUST00000149320	429
ENSMUST00000151888	132
ENSMUST00000153966	105
ENSMUST00000115359	110
ENSMUST00000145092	104
ENSMUST00000144138	103
ENSMUST00000182554	182
ENSMUST00000182080	67
ENSMUST00000117146	501
ENSMUST00000236045	182
ENSMUST00000133639	181
ENSMUST00000136455	171
ENSMUST00000132919	105
ENSMUST00000195710	0
ENSMUST00000188641	710
ENSMUST00000115352	627
ENSMUST00000186948	349
ENSMUST00000187910	340
ENSMUST00000185771	332
ENSMUST00000185393	307
ENSMUST00000186701	233
ENSMUST00000188987	112
ENSMUST00000186541	113
ENSMUST00000190986	114
ENSMUST00000191535	115
ENSMUST00000177501	250
ENSMUST00000177532	95
ENSMUST00000065373	250
ENSMUST00000176451	26
ENSMUST00000191260	27
ENSMUST00000026881	101
ENSMUST00000190366	99
ENSMUST00000194790	0
ENSMUST00000186024	22
ENSMUST00000038382	171
ENSMUST00000026879	15
ENSMUST00000150457	3
ENSMUST00000189736	3
ENSMUST00000189465	4
ENSMUST00000088476	0
ENSMUST00000159958	0
ENSMUST00000160305	0
ENSMUST00000095075	0
ENSMUST00000130669	0
ENSMUST00000026876	0
ENSMUST00000115340	0
ENSMUST00000115344	0
ENSMUST00000097818	0
ENSMUST00000088463	2
ENSMUST00000097817	0
ENSMUST00000037294	0
ENSMUST00000149505	0
ENSMUST00000027059	0
ENSMUST00000187754	0
ENSMUST00000064976	0
ENSMUST00000191068	0
ENSMUST00000186972	0
ENSMUST00000193790	0
ENSMUST00000088448	2147
