Identifier	matchCounts
ENSMUST00000193812	0
ENSMUST00000162897	0
ENSMUST00000159265	0
ENSMUST00000070533	0
ENSMUST00000195335	0
ENSMUST00000192336	0
ENSMUST00000194099	0
ENSMUST00000192973	0
ENSMUST00000195166	0
ENSMUST00000193244	0
ENSMUST00000194454	0
ENSMUST00000208660	0
ENSMUST00000208793	0
ENSMUST00000194992	0
ENSMUST00000027032	0
ENSMUST00000194382	0
ENSMUST00000027035	0
ENSMUST00000195555	0
ENSMUST00000192650	0
ENSMUST00000116652	0
ENSMUST00000192505	0
ENSMUST00000191647	0
ENSMUST00000191939	0
ENSMUST00000192913	0
ENSMUST00000130201	311
ENSMUST00000156816	390
ENSMUST00000045689	232
ENSMUST00000115538	297
ENSMUST00000192286	293
ENSMUST00000146665	269
ENSMUST00000132625	170
ENSMUST00000195445	10
ENSMUST00000134384	381
ENSMUST00000027036	857
ENSMUST00000150971	378
ENSMUST00000119612	329
ENSMUST00000137887	300
ENSMUST00000115529	444
ENSMUST00000131119	361
ENSMUST00000141278	236
ENSMUST00000155020	521
ENSMUST00000081551	654
ENSMUST00000165720	608
ENSMUST00000194052	0
ENSMUST00000002533	7
ENSMUST00000118000	6
ENSMUST00000119256	3
ENSMUST00000170566	3
ENSMUST00000147158	3
ENSMUST00000156289	1
ENSMUST00000133521	0
ENSMUST00000194114	0
ENSMUST00000192847	540
ENSMUST00000044369	567
ENSMUST00000194676	212
ENSMUST00000194301	542
ENSMUST00000194978	97
ENSMUST00000192029	178
ENSMUST00000192698	566
ENSMUST00000192142	228
ENSMUST00000193241	0
ENSMUST00000194850	0
ENSMUST00000192685	0
ENSMUST00000160777	0
ENSMUST00000239100	0
ENSMUST00000027038	0
ENSMUST00000160339	0
ENSMUST00000159083	0
ENSMUST00000193807	0
ENSMUST00000044180	0
ENSMUST00000159906	170
ENSMUST00000160871	202
ENSMUST00000027040	2856
ENSMUST00000162210	86
ENSMUST00000160062	150
ENSMUST00000162795	1184
ENSMUST00000161327	2650
ENSMUST00000159802	553
ENSMUST00000162257	1538
ENSMUST00000159206	110
ENSMUST00000159661	474
ENSMUST00000161183	277
ENSMUST00000159349	248
ENSMUST00000159530	469
ENSMUST00000162418	204
ENSMUST00000159656	406
ENSMUST00000133144	297
ENSMUST00000140079	2
ENSMUST00000131494	2
ENSMUST00000043578	0
ENSMUST00000139756	0
ENSMUST00000131467	0
ENSMUST00000150761	0
ENSMUST00000151281	0
ENSMUST00000139838	0
ENSMUST00000163727	0
ENSMUST00000132207	0
ENSMUST00000142304	0
ENSMUST00000151015	0
ENSMUST00000130338	0
ENSMUST00000195780	0
ENSMUST00000061280	614
ENSMUST00000182114	88
ENSMUST00000182306	15
ENSMUST00000182823	374
ENSMUST00000182675	164
ENSMUST00000182388	87
ENSMUST00000182892	536
ENSMUST00000183204	520
ENSMUST00000194854	46
ENSMUST00000132064	1
ENSMUST00000191683	1
ENSMUST00000140295	1
ENSMUST00000140302	1
ENSMUST00000115484	1
ENSMUST00000135046	1
ENSMUST00000115488	1
ENSMUST00000144593	0
ENSMUST00000134075	0
ENSMUST00000194098	0
ENSMUST00000126083	0
ENSMUST00000192338	0
ENSMUST00000194602	0
ENSMUST00000193281	0
ENSMUST00000193635	0
ENSMUST00000195180	0
ENSMUST00000072079	627
ENSMUST00000144177	15
ENSMUST00000027044	15
ENSMUST00000130927	4
ENSMUST00000186467	3
ENSMUST00000190654	15
ENSMUST00000088666	0
ENSMUST00000088658	574
ENSMUST00000115468	353
ENSMUST00000160022	46
ENSMUST00000160451	36
ENSMUST00000188212	112
ENSMUST00000057438	814
ENSMUST00000166384	228
ENSMUST00000188782	229
ENSMUST00000168907	228
ENSMUST00000188625	0
ENSMUST00000188738	204
ENSMUST00000188298	221
ENSMUST00000171265	228
ENSMUST00000188830	21
ENSMUST00000189050	38
ENSMUST00000097826	211
ENSMUST00000191338	58
ENSMUST00000188486	29
ENSMUST00000052843	0
ENSMUST00000171802	1
ENSMUST00000125294	1
ENSMUST00000140948	4
ENSMUST00000118098	0
ENSMUST00000183059	1
ENSMUST00000185184	30
ENSMUST00000097824	22
ENSMUST00000192299	1
ENSMUST00000147000	0
ENSMUST00000124874	0
ENSMUST00000027049	0
ENSMUST00000130102	0
ENSMUST00000176398	0
ENSMUST00000155163	0
ENSMUST00000027050	583
ENSMUST00000190155	378
ENSMUST00000186528	523
ENSMUST00000188619	305
ENSMUST00000139578	550
ENSMUST00000150509	289
ENSMUST00000191296	217
ENSMUST00000190610	7
ENSMUST00000191012	79
ENSMUST00000071087	1244
ENSMUST00000143606	145
ENSMUST00000191360	85
ENSMUST00000117415	308
ENSMUST00000191521	84
ENSMUST00000118263	317
ENSMUST00000122156	324
ENSMUST00000190063	84
ENSMUST00000119714	309
ENSMUST00000134716	83
ENSMUST00000155974	81
ENSMUST00000186294	1145
ENSMUST00000149214	156
ENSMUST00000190318	112
ENSMUST00000188249	233
ENSMUST00000153804	133
ENSMUST00000188449	285
ENSMUST00000123261	200
ENSMUST00000185422	151
ENSMUST00000190625	118
ENSMUST00000187226	283
ENSMUST00000136283	97
ENSMUST00000128164	86
ENSMUST00000136898	53
ENSMUST00000148663	86
ENSMUST00000194474	0
ENSMUST00000088615	1858
ENSMUST00000187417	151
ENSMUST00000142497	120
ENSMUST00000156563	345
ENSMUST00000128834	34
ENSMUST00000131556	972
ENSMUST00000186813	165
ENSMUST00000186720	245
ENSMUST00000192111	1
ENSMUST00000153695	0
ENSMUST00000035577	0
ENSMUST00000147575	0
ENSMUST00000140938	0
ENSMUST00000194845	0
ENSMUST00000192705	0
ENSMUST00000027056	336
ENSMUST00000190935	3
ENSMUST00000189822	64
ENSMUST00000187694	39
ENSMUST00000188189	32
ENSMUST00000187745	36
ENSMUST00000189385	50
ENSMUST00000188154	30
ENSMUST00000193623	0
ENSMUST00000171690	1
ENSMUST00000048613	0
ENSMUST00000150870	0
ENSMUST00000142117	0
ENSMUST00000141512	0
ENSMUST00000135014	1
ENSMUST00000137824	0
ENSMUST00000179089	0
ENSMUST00000141339	1
ENSMUST00000191437	0
ENSMUST00000194502	0
ENSMUST00000195360	0
ENSMUST00000177608	6
ENSMUST00000180062	6
ENSMUST00000186051	6
ENSMUST00000187376	2
ENSMUST00000088585	6
ENSMUST00000189541	0
ENSMUST00000186405	0
ENSMUST00000186674	0
ENSMUST00000189447	0
ENSMUST00000185780	4
ENSMUST00000188454	41
ENSMUST00000115403	41
ENSMUST00000115402	19
ENSMUST00000136197	13
ENSMUST00000146763	11
ENSMUST00000147606	11
ENSMUST00000133201	4
ENSMUST00000191566	5
ENSMUST00000191708	0
ENSMUST00000047577	0
ENSMUST00000081713	654
ENSMUST00000068304	653
ENSMUST00000006037	493
ENSMUST00000185275	3
ENSMUST00000146784	33
ENSMUST00000133232	67
ENSMUST00000147927	274
ENSMUST00000143603	251
ENSMUST00000139970	69
ENSMUST00000124088	58
ENSMUST00000145280	54
ENSMUST00000195493	2
ENSMUST00000195811	0
ENSMUST00000194484	0
ENSMUST00000194357	0
ENSMUST00000195506	4
ENSMUST00000195718	5
ENSMUST00000027068	3301
ENSMUST00000185447	911
ENSMUST00000188377	768
ENSMUST00000027071	492
ENSMUST00000156222	81
ENSMUST00000194537	6
ENSMUST00000088542	0
ENSMUST00000194709	0
ENSMUST00000193148	0
ENSMUST00000027066	164
ENSMUST00000168081	164
ENSMUST00000080664	159
ENSMUST00000190337	138
ENSMUST00000189526	31
ENSMUST00000188857	66
ENSMUST00000185453	44
ENSMUST00000187790	42
ENSMUST00000185329	11
ENSMUST00000193605	0
ENSMUST00000027062	32
