Identifier	matchCounts
ENSMUST00000186674	0
ENSMUST00000189447	0
ENSMUST00000185780	1
ENSMUST00000188454	24
ENSMUST00000115403	24
ENSMUST00000115402	16
ENSMUST00000136197	13
ENSMUST00000146763	12
ENSMUST00000147606	10
ENSMUST00000133201	4
ENSMUST00000191566	9
ENSMUST00000191708	0
ENSMUST00000047577	0
ENSMUST00000081713	650
ENSMUST00000068304	644
ENSMUST00000006037	466
ENSMUST00000185275	9
ENSMUST00000146784	25
ENSMUST00000133232	65
ENSMUST00000147927	257
ENSMUST00000143603	225
ENSMUST00000139970	82
ENSMUST00000124088	61
ENSMUST00000145280	56
ENSMUST00000195493	0
ENSMUST00000195811	0
ENSMUST00000194484	0
ENSMUST00000194357	0
ENSMUST00000195506	5
ENSMUST00000195718	8
ENSMUST00000027068	4032
ENSMUST00000185447	1134
ENSMUST00000188377	1031
ENSMUST00000027071	496
ENSMUST00000156222	72
ENSMUST00000194537	11
ENSMUST00000088542	0
ENSMUST00000194709	0
ENSMUST00000193148	0
ENSMUST00000027066	214
ENSMUST00000168081	214
ENSMUST00000080664	199
ENSMUST00000190337	155
ENSMUST00000189526	21
ENSMUST00000188857	67
ENSMUST00000185453	41
ENSMUST00000187790	39
ENSMUST00000185329	14
ENSMUST00000193605	0
ENSMUST00000027062	34
ENSMUST00000190719	27
ENSMUST00000188982	15
ENSMUST00000190471	8
ENSMUST00000194866	0
ENSMUST00000041447	96
ENSMUST00000235071	73
ENSMUST00000175681	0
ENSMUST00000170146	0
ENSMUST00000193873	0
ENSMUST00000194564	0
ENSMUST00000188371	444
ENSMUST00000186565	183
ENSMUST00000027057	428
ENSMUST00000188684	152
ENSMUST00000194867	5
ENSMUST00000040695	0
ENSMUST00000115367	0
ENSMUST00000145070	0
ENSMUST00000151004	0
ENSMUST00000140597	489
ENSMUST00000058437	3279
ENSMUST00000141217	3366
ENSMUST00000151017	2146
ENSMUST00000149566	3214
ENSMUST00000125005	3177
ENSMUST00000027053	1854
ENSMUST00000152626	1214
ENSMUST00000192560	0
ENSMUST00000162751	200
ENSMUST00000054668	200
ENSMUST00000162627	197
ENSMUST00000027052	197
ENSMUST00000162435	197
ENSMUST00000159558	341
ENSMUST00000128957	344
ENSMUST00000131257	334
ENSMUST00000115360	216
ENSMUST00000162007	341
ENSMUST00000127420	341
ENSMUST00000149320	205
ENSMUST00000151888	74
ENSMUST00000153966	61
ENSMUST00000115359	60
ENSMUST00000145092	56
ENSMUST00000144138	59
ENSMUST00000182554	163
ENSMUST00000182080	59
ENSMUST00000117146	480
ENSMUST00000236045	161
ENSMUST00000133639	161
ENSMUST00000136455	150
ENSMUST00000132919	100
ENSMUST00000195710	1
ENSMUST00000188641	702
ENSMUST00000115352	621
ENSMUST00000186948	379
ENSMUST00000187910	372
ENSMUST00000185771	374
ENSMUST00000185393	344
ENSMUST00000186701	287
ENSMUST00000188987	150
ENSMUST00000186541	157
ENSMUST00000190986	154
ENSMUST00000191535	152
ENSMUST00000177501	250
ENSMUST00000177532	101
ENSMUST00000065373	250
ENSMUST00000176451	36
ENSMUST00000191260	16
ENSMUST00000026881	65
ENSMUST00000190366	65
ENSMUST00000194790	0
ENSMUST00000186024	0
ENSMUST00000038382	9
ENSMUST00000026879	0
ENSMUST00000150457	0
ENSMUST00000189736	0
ENSMUST00000189465	0
ENSMUST00000088476	1
ENSMUST00000159958	0
ENSMUST00000160305	0
ENSMUST00000095075	0
ENSMUST00000130669	0
ENSMUST00000026876	0
ENSMUST00000115340	0
ENSMUST00000115344	0
ENSMUST00000097818	0
ENSMUST00000088463	0
ENSMUST00000097817	0
ENSMUST00000037294	0
ENSMUST00000149505	0
ENSMUST00000027059	0
ENSMUST00000187754	0
ENSMUST00000064976	0
ENSMUST00000191068	0
ENSMUST00000186972	0
ENSMUST00000193790	0
ENSMUST00000088448	3156
