EtOH	
2 q(deg.)	Intenisty (a. u.)
6.98134	4137
6.99447	4110
7.0076	4254
7.02073	4379
7.03386	4335
7.04699	4309
7.06012	4280
7.07325	4265
7.08638	4491
7.09951	4461
7.11265	4307
7.12578	4493
7.13891	4492
7.15204	4456
7.16517	4676
7.1783	4554
7.19143	4735
7.20456	4691
7.21769	4699
7.23082	4799
7.24395	4900
7.25708	4955
7.27021	4927
7.28334	4999
7.29647	5218
7.3096	5244
7.32273	5305
7.33586	5463
7.34899	5710
7.36212	5660
7.37525	5846
7.38838	5623
7.40151	5527
7.41464	5210
7.42777	5103
7.4409	5027
7.45403	4753
7.46716	4655
7.48029	4746
7.49342	4505
7.50655	4431
7.51968	4488
7.53281	4350
7.54594	4230
7.55907	4250
7.5722	4189
7.58534	4296
7.59847	4148
7.6116	4061
7.62473	4167
7.63786	4121
7.65099	4165
7.66412	4287
7.67725	4165
7.69038	4131
7.70351	4099
7.71664	4163
7.72977	4157
7.7429	4062
7.75603	4207
7.76916	4137
7.78229	4134
7.79542	4218
7.80855	4129
7.82168	4106
7.83481	4153
7.84794	4006
7.86107	4085
7.8742	3985
7.88733	3916
7.90046	3925
7.91359	3944
7.92672	3885
7.93985	3902
7.95298	4051
7.96611	3815
7.97924	3991
7.99237	3874
8.0055	3942
8.01863	3982
8.03176	3811
8.0449	3950
8.05803	3877
8.07116	3879
8.08429	3867
8.09742	3922
8.11055	3887
8.12368	3869
8.13681	3863
8.14994	3790
8.16307	3832
8.1762	3877
8.18933	3880
8.20246	3882
8.21559	3910
8.22872	3832
8.24185	3858
8.25498	3838
8.26811	3965
8.28124	3848
8.29437	3931
8.3075	3942
8.32063	4011
8.33376	3793
8.34689	3804
8.36002	3735
8.37315	3870
8.38628	3883
8.39941	3793
8.41254	3775
8.42567	3901
8.4388	3943
8.45193	3924
8.46506	3858
8.47819	3905
8.49132	3805
8.50446	3736
8.51759	3927
8.53072	3831
8.54385	3832
8.55698	3895
8.57011	3773
8.58324	3897
8.59637	3841
8.6095	3885
8.62263	3875
8.63576	3858
8.64889	3789
8.66202	3864
8.67515	3729
8.68828	3809
8.70141	3755
8.71454	3900
8.72767	3802
8.7408	3695
8.75393	3773
8.76706	3761
8.78019	3788
8.79332	3815
8.80645	3670
8.81958	3739
8.83271	3770
8.84584	3807
8.85897	3852
8.8721	3880
8.88523	3893
8.89836	3719
8.91149	3866
8.92462	3791
8.93775	3747
8.95088	3729
8.96401	3694
8.97715	3765
8.99028	3873
9.00341	3853
9.01654	3664
9.02967	3749
9.0428	3806
9.05593	3816
9.06906	3799
9.08219	3668
9.09532	3941
9.10845	3729
9.12158	3783
9.13471	3736
9.14784	3762
9.16097	3973
9.1741	3813
9.18723	3815
9.20036	3807
9.21349	3813
9.22662	3752
9.23975	3854
9.25288	3852
9.26601	3817
